name,position,team,player_id,value,overallRank,positionRank,trend30Day
Jordan Whittington,WR,LAR,11721,287,276,107,-75
Jalen Nailor,WR,MIN,3629,285,277,108,-78
Jimmy Horn,WR,CAR,12600,284,278,109,-74
Elijah Moore,WR,BUF,4250,278,279,110,-303
Tez Johnson,WR,TB,12667,261,280,111,170
Raheem Mostert,RB,LV,6259,258,281,82,-116
Chimere Dike,WR,TEN,12693,257,282,112,-79
Jermaine Burton,WR,CIN,11698,256,283,113,-277
Audric Estime,RB,DEN,11776,256,284,83,-300
Riley Leonard,QB,IND,12613,245,285,47,-20
Xavier Restrepo,WR,TEN,12649,242,286,114,-312
Dyami Brown,WR,JAX,7376,239,287,115,-16
Cam Miller,QB,LV,12801,229,288,48,62
Noah Fant,TE,CIN,2677,229,289,43,-135
Tyler Higbee,TE,LAR,5467,227,290,44,-45
Elijah Mitchell,RB,KC,2660,222,291,84,-12
Jaleel McLaughlin,RB,DEN,11676,217,292,85,-120
Arian Smith,WR,NYJ,12704,216,293,116,-94
Damien Martinez,RB,SEA,12633,213,294,86,-99
Jalen Tolbert,WR,DAL,2144,212,295,117,33
Phil Mafah,RB,DAL,13156,211,296,87,-133
Mac Jones,QB,SF,6814,209,297,49,-4
Raheim Sanders,RB,LAC,12641,196,298,88,138
A.J. Dillon,RB,PHI,3368,192,299,89,-104
Will Levis,QB,TEN,9901,190,300,50,-81
Kalel Mullings,RB,TEN,12658,187,301,90,23
Trey Lance,QB,LAC,4875,185,302,51,109
Tutu Atwell,WR,LAR,8432,184,303,118,-28
Emanuel Wilson,RB,GB,11422,182,304,91,-21
Tyler Conklin,TE,LAC,6147,177,305,45,-107
Zach Wilson,QB,MIA,6731,176,306,52,-39
Tanner McKee,QB,PHI,9940,175,307,53,103
Jordan Watkins,WR,SF,13211,166,308,119,-51
Skyy Moore,WR,KC,1622,159,309,120,159
Gardner Minshew,QB,KC,7783,153,310,54,13
Marcus Mariota,QB,WAS,7818,149,311,55,17
Jake Browning,QB,CIN,438,149,312,56,97
Cade Stover,TE,HOU,11695,148,313,46,22
Kenneth Gainwell,RB,PIT,4476,146,314,92,23
LeQuint Allen,RB,JAX,12714,145,315,93,-38
Donovan Edwards,RB,NYJ,12670,140,316,94,-21
Jameis Winston,QB,NYG,794,136,317,57,-131
Nick Nash,WR,ATL,12621,135,318,121,-10
John Metchie,WR,HOU,3812,135,319,122,84
Kimani Vidal,RB,LAC,11790,135,320,95,-79
Ray-Ray McCloud,WR,ATL,6900,131,321,123,67
Hendon Hooker,QB,DET,9881,126,322,58,-6
Zamir White,RB,LV,3171,125,323,96,24
Deshaun Watson,QB,CLE,3568,125,324,59,-42
Jalin Hyatt,WR,NYG,9851,124,325,124,-47
Will Dissly,TE,LAC,8420,124,326,47,-12
Mason Rudolph,QB,PIT,4357,119,327,60,-15
Ty Johnson,RB,BUF,607,117,328,97,51
Devontez Walker,WR,BAL,11777,117,329,125,37
Ja'Lynn Polk,WR,NE,11700,116,330,126,-281
Tyrod Taylor,QB,NYJ,4418,115,331,61,-314
Jacob Cowing,WR,SF,11778,114,332,127,-191
Malachi Corley,WR,NYJ,11744,114,333,128,-122
Devin Singletary,RB,NYG,8347,109,334,98,-104
Brandin Cooks,WR,NO,7088,107,335,129,-43
Nick Westbrook-Ikhine,WR,MIA,4872,107,336,130,-19
Olamide Zaccheaus,WR,CHI,205,102,337,131,55
Parker Washington,WR,JAX,9894,102,338,132,-7
Antonio Gibson,RB,NE,7587,101,339,99,-59
Alexander Mattison,RB,MIA,7600,99,340,100,-73
Tyson Bagent,QB,CHI,11408,98,341,62,11
Khalil Herbert,RB,IND,320,97,342,101,-134
Hunter Renfrow,WR,CAR,4589,85,343,133,-65
Jahan Dotson,WR,PHI,7169,85,344,134,-121
Samaje Perine,RB,CIN,3463,84,345,102,84
Drew Lock,QB,SEA,3577,83,346,63,42
Marquez Valdes-Scantling,WR,SEA,5958,81,347,135,-73
Taysom Hill,TE,NO,6915,81,348,48,-8
Allen Lazard,WR,NYJ,5460,80,349,136,-96
Cooper Rush,QB,BAL,157,80,350,64,-83
Zack Moss,RB,,336,76,351,103,-393
Curtis Samuel,WR,BUF,3438,75,352,137,-54
Konata Mumpfield,WR,LAR,12826,74,353,138,-82
Demarcus Robinson,WR,SF,448,73,354,139,28
Tyquan Thornton,WR,KC,5858,72,355,140,72
Erick All,TE,CIN,11761,71,356,49,-59
Jonathan Mingo,WR,DAL,9867,70,357,141,70
Mike Williams,WR,,8015,64,358,142,64
Greg Dortch,WR,ARI,938,60,359,143,13
Noah Brown,WR,WAS,1230,58,360,144,58
Cam Akers,RB,NO,2937,58,361,104,-34
Tom Brady,QB,,7732,56,362,65,31
Clyde Edwards-Helaire,RB,NO,8140,55,363,105,55
Colby Parkinson,TE,LAR,6289,50,364,50,50
Dawson Knox,TE,BUF,1787,48,365,51,-72
Aidan O'Connell,QB,LV,11015,44,366,66,-97
Sincere McCormick,RB,LV,8286,44,367,106,-39
JuJu Smith-Schuster,WR,KC,8033,42,368,145,-1
KaVontae Turpin,WR,DAL,4302,41,369,146,28
Bub Means,WR,NO,11896,40,370,147,-13
Brenden Rice,WR,LAC,11710,36,371,148,6
Jacoby Brissett,QB,ARI,2042,33,372,67,-15
Jamari Thrash,WR,CLE,11755,33,373,149,9
Dorian Thompson-Robinson,QB,PHI,9945,31,374,68,-20
Frank Gore,RB,BUF,11715,29,375,107,10
Thomas Fidone,TE,NYG,13060,27,376,52,-282
Van Jefferson,WR,TEN,4927,27,377,150,27
David Moore,WR,CAR,4735,27,378,151,27
Stetson Bennett,QB,LAR,9875,26,379,69,26
Carson Steele,RB,KC,11717,26,380,108,26
Jeremy Ruckert,TE,NYJ,4210,25,381,53,7
Austin Hooper,TE,NE,2338,24,382,54,1
Sione Vaki,RB,DET,11958,23,383,109,4
Javon Baker,WR,NE,11782,22,384,152,-164
Gabe Davis,WR,,8112,21,385,153,-156
Josh Reynolds,WR,NYJ,5612,18,386,154,-49
Andy Dalton,QB,CAR,2030,18,387,70,-65
Mason Tipton,WR,NO,12233,15,388,155,15
Carson Wentz,QB,,7100,15,389,71,15
Tahj Washington,WR,MIA,11936,14,390,156,14
Chris Brooks,RB,GB,11653,11,391,110,11
Robert Woods,WR,PIT,391,7,392,157,7
Eric Gray,RB,NYG,9895,7,393,111,7
Rasheen Ali,RB,BAL,11727,4,394,112,4
