Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
304.0,Maurice Turner*,Louisville,ACC,8.0,65.0,314.0,4.8,0.0,39.3,12.0,72.0,6.0,0.0,9.0,77.0,386.0,5.0,0.0,
305.0,Jaylon Armstead*,San Diego State,MWC,10.0,52.0,313.0,6.0,2.0,31.3,0.0,0.0,,0.0,0.0,52.0,313.0,6.0,2.0,
306.0,Cartevious Norton,Iowa State,Big 12,8.0,87.0,312.0,3.6,2.0,39.0,12.0,69.0,5.8,0.0,8.6,99.0,381.0,3.8,2.0,
307.0,Jase Bauer,Central Michigan,MAC,6.0,53.0,312.0,5.9,4.0,52.0,0.0,0.0,,0.0,0.0,53.0,312.0,5.9,4.0,
308.0,Christian Washington,New Mexico,MWC,10.0,73.0,310.0,4.2,0.0,31.0,12.0,76.0,6.3,0.0,7.6,85.0,386.0,4.5,0.0,
309.0,Clyde Price,Akron,MAC,12.0,99.0,309.0,3.1,7.0,25.8,31.0,139.0,4.5,1.0,11.6,130.0,448.0,3.4,8.0,
310.0,Tai Lavatai,Navy,American,8.0,115.0,309.0,2.7,5.0,38.6,1.0,26.0,26.0,1.0,3.3,116.0,335.0,2.9,6.0,
311.0,Ollie Gordon*,Oklahoma State,Big 12,13.0,62.0,308.0,5.0,2.0,23.7,12.0,76.0,6.3,2.0,5.8,74.0,384.0,5.2,4.0,
312.0,Iverson Celestine*,Tulane,American,11.0,77.0,306.0,4.0,0.0,27.8,4.0,26.0,6.5,0.0,2.4,81.0,332.0,4.1,0.0,
313.0,J.J. McCarthy*,Michigan,Big Ten,14.0,70.0,306.0,4.4,5.0,21.9,0.0,0.0,,0.0,0.0,70.0,306.0,4.4,5.0,
314.0,Demie Sumo*,North Carolina State,ACC,8.0,55.0,305.0,5.5,3.0,38.1,12.0,148.0,12.3,1.0,18.5,67.0,453.0,6.8,4.0,
315.0,Cooper Legas*,Utah State,MWC,10.0,108.0,303.0,2.8,2.0,30.3,0.0,0.0,,0.0,0.0,108.0,303.0,2.8,2.0,
316.0,Bryan Bradford,Kent State,MAC,12.0,64.0,302.0,4.7,2.0,25.2,5.0,42.0,8.4,1.0,3.5,69.0,344.0,5.0,3.0,
317.0,Al-Jay Henderson*,Buffalo,MAC,10.0,59.0,301.0,5.1,3.0,30.1,6.0,45.0,7.5,0.0,4.5,65.0,346.0,5.3,3.0,
318.0,Brian Snead,Arkansas State,Sun Belt,8.0,81.0,299.0,3.7,6.0,37.4,9.0,46.0,5.1,0.0,5.8,90.0,345.0,3.8,6.0,
319.0,Jarek Broussard,Michigan State,Big Ten,12.0,63.0,298.0,4.7,3.0,24.8,4.0,48.0,12.0,0.0,4.0,67.0,346.0,5.2,3.0,
320.0,Kay'ron Adams,Massachusetts,Ind,11.0,84.0,297.0,3.5,1.0,27.0,2.0,7.0,3.5,0.0,0.6,86.0,304.0,3.5,1.0,
321.0,Rashod Dubinion*,Arkansas,SEC,13.0,71.0,293.0,4.1,5.0,22.5,12.0,108.0,9.0,1.0,8.3,83.0,401.0,4.8,6.0,
322.0,L.T. Sanders*,Western Kentucky,CUSA,9.0,44.0,292.0,6.6,1.0,32.4,1.0,2.0,2.0,0.0,0.2,45.0,294.0,6.5,1.0,
323.0,Nolan McCormick*,Ohio,MAC,13.0,83.0,289.0,3.5,1.0,22.2,20.0,164.0,8.2,1.0,12.6,103.0,453.0,4.4,2.0,
324.0,Eric Wilson Jr.,Florida International,CUSA,12.0,79.0,288.0,3.6,2.0,24.0,19.0,75.0,3.9,0.0,6.3,98.0,363.0,3.7,2.0,
325.0,Jaiden Credle,Northern Illinois,MAC,7.0,72.0,288.0,4.0,1.0,41.1,0.0,0.0,,0.0,0.0,72.0,288.0,4.0,1.0,
326.0,Jeff Sims,Georgia Tech,ACC,7.0,87.0,288.0,3.3,1.0,41.1,1.0,1.0,1.0,0.0,0.1,88.0,289.0,3.3,1.0,
