Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2023,Miami (OH),503.0,14.0,11.0,3.0,0.0,0.786,359.0,223.0,136.0,503.0,2213.0,4.4,23.0
2023,Ohio,485.0,13.0,10.0,3.0,0.0,0.769,316.0,206.0,110.0,485.0,1877.0,3.9,18.0
2023,Western Michigan,479.0,12.0,4.0,8.0,0.0,0.333,284.0,381.0,-97.0,479.0,1846.0,3.9,21.0
2023,Ball State,473.0,12.0,4.0,8.0,0.0,0.333,219.0,293.0,-74.0,473.0,2058.0,4.4,15.0
2023,Northern Illinois,467.0,13.0,7.0,6.0,0.0,0.538,324.0,273.0,51.0,467.0,2335.0,5.0,23.0
2023,Central Michigan,455.0,12.0,5.0,7.0,0.0,0.417,278.0,373.0,-95.0,455.0,1913.0,4.2,21.0
2023,Kent State,441.0,12.0,1.0,11.0,0.0,0.083,176.0,415.0,-239.0,441.0,1271.0,2.9,8.0
2023,Buffalo,435.0,12.0,3.0,9.0,0.0,0.25,251.0,329.0,-78.0,435.0,1603.0,3.7,15.0
2023,Bowling Green,429.0,13.0,7.0,6.0,0.0,0.538,340.0,312.0,28.0,429.0,1788.0,4.2,22.0
2023,Eastern Michigan,428.0,13.0,6.0,7.0,0.0,0.462,254.0,347.0,-93.0,428.0,1440.0,3.4,18.0
2023,Akron,346.0,12.0,2.0,10.0,0.0,0.167,195.0,336.0,-141.0,346.0,972.0,2.8,12.0
2023,Liberty,670.0,14.0,13.0,1.0,0.0,0.929,536.0,340.0,196.0,670.0,4106.0,6.1,39.0
2023,Jacksonville State,647.0,13.0,9.0,4.0,0.0,0.692,392.0,275.0,117.0,647.0,3077.0,4.8,35.0
2023,New Mexico State,525.0,15.0,10.0,5.0,0.0,0.667,412.0,342.0,70.0,525.0,2980.0,5.7,22.0
2023,UTEP,447.0,12.0,3.0,9.0,0.0,0.25,239.0,342.0,-103.0,447.0,1732.0,3.9,16.0
2023,Middle Tennessee State,384.0,12.0,4.0,8.0,0.0,0.333,291.0,337.0,-46.0,384.0,1501.0,3.9,13.0
2023,Louisiana Tech,381.0,12.0,3.0,9.0,0.0,0.25,311.0,401.0,-90.0,381.0,1485.0,3.9,20.0
2023,Florida International,380.0,12.0,4.0,8.0,0.0,0.333,241.0,382.0,-141.0,380.0,1083.0,2.9,17.0
2023,Sam Houston,368.0,12.0,3.0,9.0,0.0,0.25,240.0,314.0,-74.0,368.0,1067.0,2.9,13.0
2023,Western Kentucky,357.0,13.0,8.0,5.0,0.0,0.615,396.0,373.0,23.0,357.0,1370.0,3.8,12.0
