player_name,bakery_RB_ensemble,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,ADJ%,BTT%,Break%,CC%,CTPRR,Comp%,DAA,DOM+,DOM+.1,Drop Rate,EPA/P,MTF/A,PDOM+,PDOM+.1,RDOM+,RDOM+.1,TWP%,UCTPRR,Y/RR,YAC/R,YCO/A,YPA,YPC,YPR,aDOT,aYPTPA,ELU,Speed,BMI,SpeedxBMI,bakery_RB_rb_model_seed12_subs20_seed12,bakery_RB_rb_model_seed12_subs30_seed12,bakery_RB_rb_model_seed12_subs40_seed12,bakery_RB_rb_model_seed34_subs20_seed34,bakery_RB_rb_model_seed34_subs30_seed34,bakery_RB_rb_model_seed34_subs40_seed34,bakery_RB_rb_model_seed56_subs20_seed56,bakery_RB_rb_model_seed56_subs30_seed56,bakery_RB_rb_model_seed56_subs40_seed56
Frank Summers,4.017114661427981,RB,1985-09-06,Nevada-Las Vegas,MWC,2009,5,2007.0,21.985,,,,,,,,0.144,0.109,,,,0.0,0.0,0.534,0.406,,,,,,,,,,,,,,,3.735107052529043,3.735107052529043,3.735107052529043,4.4521141530645485,4.4521141530645485,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
Javorius Allen,4.017114661427981,RB,1991-08-27,USC,Pac-12,2015,4,2013.0,22.015,,,,,,,,0.072,0.069,,,,0.0,0.0,0.661,0.628,,,,,,,,,,,41.0,4.53,29.97,135.7641,3.735107052529043,3.735107052529043,3.735107052529043,4.4521141530645485,4.4521141530645485,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
MarShawn Lloyd,4.016979991500559,RB,2001-01-05,USC,Pac-12,2024,3,2022.0,21.654,,,,,,,,0.027,0.025,,,,0.0,0.0,0.371,0.352,,,,,,,,,,,87.1,4.46,32.485,144.88309999999998,3.6756202903542032,3.6756202903542032,3.6756202903542032,4.544674021462198,4.544674021462198,4.182318733759862,3.951430758586055,3.951430758586055,3.951430758586055
Darwin Thompson,4.0116767681324825,RB,1997-02-12,Utah State,MWC,2019,6,2018.0,21.55,,,,,,,,0.077,0.059,,,,0.0,0.0,0.386,0.293,,,,,,,,,,,173.7,,,,3.725465633610041,3.725465633610041,3.725465633610041,4.494214990990922,4.494214990990922,4.124614828454452,3.938549733975308,3.938549733975308,3.938549733975308
Tyler Gaffney,4.010517652416025,RB,1991-04-20,Stanford,Pac-12,2014,6,2013.0,22.368,,,,,,,,0.039,0.037,,,,0.0,0.0,0.644,0.612,,,,,,,,,,,,4.49,30.68,137.7532,3.716073186344005,3.716073186344005,3.716073186344005,4.4521141530645485,4.4521141530645485,4.124773683119859,3.972479107821088,3.972479107821088,3.972479107821088
Adrian Peterson,4.001506205743625,RB,1979-07-01,Oklahoma,Big 12,2007,1,2005.0,26.171,,,,,,,,0.03,0.028,,,,0.0,0.0,0.481,0.457,,,,,,,,,,,,4.4,28.627,125.9588,3.9504063674408743,3.9504063674408743,3.9504063674408743,4.0518245770570855,4.0518245770570855,3.9707613964340505,4.029308732940591,4.029308732940591,4.029308732940591
Jacory Croskey-Merritt,3.997309739433077,RB,2001-04-12,Arizona,Big 12,2025,7,2023.0,22.387,,,,,,,,0.043,0.041,,,,0.0,0.0,0.584,0.555,,,,,,,,,,,130.8,,,,3.6909424992538793,3.6909424992538793,3.6909424992538793,4.4521141530645485,4.4521141530645485,4.136626033068141,3.9540352726462737,3.9540352726462737,3.9540352726462737
Andre Ellington,3.9970947918596766,RB,1989-02-03,Clemson,ACC,2013,6,2010.0,21.574,,,,,,,,0.027,0.026,,,,0.0,0.0,0.443,0.421,,,,,,,,,,,,4.61,29.384,135.46024,3.725465633610041,3.725465633610041,3.725465633610041,4.482669301793015,4.482669301793015,4.124614828454452,3.902500931288829,3.902500931288829,3.902500931288829
Joe Williams,3.9933186075214215,RB,1993-09-04,Utah,Pac-12,2017,4,2016.0,22.992,,,,,,,,0.019,0.018,,,,0.0,0.0,0.453,0.43,,,,,,,,,,,54.6,4.41,29.286,129.15126,4.02917138955188,4.02917138955188,4.02917138955188,4.125158085183722,4.125158085183722,3.9461801395627063,3.885285663035668,3.885285663035668,3.885285663035668
Thomas Tapeh,3.993173341376922,RB,1980-03-28,Minnesota,Big Ten,2004,5,2002.0,22.428,,,,,,,,0.042,0.042,,,,0.0,0.0,0.272,0.272,,,,,,,,,,,,,,,3.6909424992538793,3.6909424992538793,3.6909424992538793,4.43350036181185,4.43350036181185,4.136626033068141,3.9540352726462737,3.9540352726462737,3.9540352726462737
Vernand Morency,3.9856994399107006,RB,1980-02-04,Oklahoma State,Big 12,2005,3,2003.0,23.573,,,,,,,,0.004,0.004,,,,0.0,0.0,0.28,0.266,,,,,,,,,,,,4.66,30.416,141.73856,3.550082156903487,3.550082156903487,3.550082156903487,4.409158946795206,4.409158946795206,4.283721857954665,4.039669578980257,4.039669578980257,4.039669578980257
Marcus Murphy,3.983504175488809,RB,1991-10-03,Missouri,SEC,2015,7,2013.0,21.914,,,,,,,,0.06,0.06,,,,0.0,0.0,0.303,0.303,,,,,,,,,,,55.6,4.61,29.236,134.77796,3.6863878349378343,3.6863878349378343,3.6863878349378343,4.4238779087266,4.4238779087266,4.151517895126656,3.931033454001975,3.931033454001975,3.931033454001975
Fui Vakapuna,3.9765370489824416,RB,1984-03-09,BYU,MWC,2009,7,2006.0,22.48,,,,,,,,0.056,0.042,,,,0.0,0.0,0.269,0.204,,,,,,,,,,,,,,,3.6909424992538793,3.6909424992538793,3.6909424992538793,4.43350036181185,4.43350036181185,4.122733865316554,3.9087571180466942,3.9087571180466942,3.9087571180466942
Jordan Wilkins,3.964933535783936,RB,1994-07-18,Ole Miss,SEC,2018,5,2017.0,23.124,,,,,,,,0.048,0.048,,,,0.0,0.0,0.551,0.551,,,,,,,,,,,16.3,4.539,28.495,129.338805,3.9440161743394233,3.9440161743394233,3.9440161743394233,4.125158085183722,4.125158085183722,3.9461801395627063,3.885285663035668,3.885285663035668,3.885285663035668
Kenneth Darby,3.9623143052570935,RB,1982-12-26,Alabama,SEC,2007,7,2005.0,22.683,,,,,,,,0.038,0.038,,,,0.0,0.0,0.375,0.375,,,,,,,,,,,,4.75,30.272,143.792,3.562917954272544,3.562917954272544,3.562917954272544,4.413956717314779,4.413956717314779,4.126091694628547,4.0060232517460355,4.0060232517460355,4.0060232517460355
