Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
121.0,Eric Rekieta,Louisiana,Sun Belt,6.0,99.0,165.0,60.0,1090.0,7.0,4.2,6.0,3.6,6.6,5.82,11.0,181.7,122.2,
122.0,Michael Harrington,Idaho,Sun Belt,7.0,90.0,196.0,45.9,996.0,5.0,2.6,4.0,2.0,5.1,4.67,11.1,142.3,92.9,
123.0,Chance Harridge,Air Force,MWC,12.0,80.0,161.0,49.7,995.0,6.0,3.7,7.0,4.3,6.2,4.97,12.4,82.9,105.2,
124.0,Andy Roesch,Ball State,MAC,8.0,89.0,165.0,53.9,992.0,8.0,4.8,6.0,3.6,6.0,5.35,11.1,124.0,113.2,
125.0,Jeff Grady,Fresno State,WAC,9.0,93.0,175.0,53.1,917.0,4.0,2.3,6.0,3.4,5.2,4.15,9.9,101.9,97.8,
126.0,Michael Robinson,Penn State,Big Ten,11.0,62.0,138.0,44.9,892.0,5.0,3.6,5.0,3.6,6.5,5.56,14.4,81.1,103.9,
127.0,Jason Fife,Oregon,Pac-10,13.0,64.0,120.0,53.3,879.0,6.0,5.0,4.0,3.3,7.3,6.83,13.7,67.6,124.7,
128.0,John Beck,BYU,MWC,8.0,73.0,145.0,50.3,864.0,5.0,3.4,5.0,3.4,6.0,5.1,11.8,108.0,104.9,
129.0,P.J. Piskorik,Buffalo,MAC,10.0,85.0,162.0,52.5,824.0,6.0,3.7,3.0,1.9,5.1,4.99,9.7,82.4,103.7,
130.0,Paul Dombrowski,New Mexico State,Sun Belt,10.0,56.0,109.0,51.4,821.0,3.0,2.8,7.0,6.4,7.5,5.19,14.7,82.1,110.9,
131.0,Reggie Robertson,California,Pac-10,13.0,62.0,99.0,62.6,797.0,9.0,9.1,3.0,3.0,8.1,8.51,12.9,61.3,154.2,
132.0,Richard Bartel,SMU,WAC,6.0,68.0,151.0,45.0,797.0,4.0,2.6,9.0,6.0,5.3,3.13,11.7,132.8,86.2,
133.0,Tye Gunn,Texas Christian,CUSA,5.0,61.0,102.0,59.8,788.0,2.0,2.0,3.0,2.9,7.7,6.79,12.9,157.6,125.3,
134.0,Ryan Hawk,Ohio,MAC,12.0,49.0,100.0,49.0,765.0,4.0,4.0,3.0,3.0,7.7,7.1,15.6,63.8,120.5,
135.0,Trent Edwards,Stanford,Pac-10,8.0,77.0,170.0,45.3,750.0,4.0,2.4,9.0,5.3,4.4,2.5,9.7,93.8,79.5,
136.0,Erik Greenberg,Colorado,Big 12,6.0,49.0,92.0,53.3,737.0,6.0,6.5,3.0,3.3,8.0,7.85,15.0,122.8,135.6,
137.0,Dustin Long,Texas A&M,Big 12,12.0,63.0,104.0,60.6,709.0,4.0,3.8,6.0,5.8,6.8,4.99,11.3,59.1,119.0,
138.0,Ingle Martin,Florida,SEC,4.0,47.0,77.0,61.0,654.0,3.0,3.9,2.0,2.6,8.5,8.1,13.9,163.5,140.0,
139.0,Dustin Ward,Illinois,Big Ten,5.0,63.0,108.0,58.3,648.0,3.0,2.8,5.0,4.6,6.0,4.47,10.3,129.6,108.6,
140.0,Jeff Perry,Central Michigan,MAC,4.0,61.0,105.0,58.1,646.0,5.0,4.8,3.0,2.9,6.2,5.82,10.6,161.5,119.8,
141.0,Randall Secky,Buffalo,MAC,10.0,70.0,140.0,50.0,637.0,0.0,0.0,3.0,2.1,4.6,3.59,9.1,63.7,83.9,
142.0,Scott McMullen,Ohio State,Big Ten,7.0,51.0,78.0,65.4,615.0,5.0,6.4,3.0,3.8,7.9,7.44,12.1,87.9,145.1,
143.0,Chris Williams,UAB,CUSA,7.0,37.0,90.0,41.1,607.0,3.0,3.3,5.0,5.6,6.7,4.91,16.4,86.7,97.7,
144.0,Clint Marks,Middle Tennessee State,Sun Belt,7.0,41.0,63.0,65.1,593.0,7.0,11.1,3.0,4.8,9.4,9.49,14.5,84.7,171.3,
145.0,Shawn Bell,Baylor,Big 12,8.0,60.0,98.0,61.2,576.0,1.0,1.0,1.0,1.0,5.9,5.62,9.6,72.0,111.9,
146.0,Adam Barmann,Kansas,Big 12,4.0,57.0,85.0,67.1,564.0,4.0,4.7,5.0,5.9,6.6,4.93,9.9,141.0,126.6,
147.0,Jeff Schwinn,Kansas State,Big 12,6.0,37.0,68.0,54.4,563.0,1.0,1.5,3.0,4.4,8.3,6.59,15.2,93.8,120.0,
148.0,Fred Ray,Ohio,MAC,7.0,43.0,81.0,53.1,558.0,2.0,2.5,3.0,3.7,6.9,5.72,13.0,79.7,111.7,
149.0,Matt Moore,UCLA,Pac-10,8.0,52.0,103.0,50.5,555.0,2.0,1.9,6.0,5.8,5.4,3.16,10.7,69.4,90.5,
150.0,Josh Swogger,Washington State,Pac-10,9.0,41.0,81.0,50.6,548.0,1.0,1.2,5.0,6.2,6.8,4.23,13.4,60.9,99.2,
151.0,Ryan Sorahan,Arkansas,SEC,12.0,35.0,72.0,48.6,545.0,2.0,2.8,2.0,2.8,7.6,6.88,15.6,45.4,115.8,
152.0,Chris Pazan,Illinois,Big Ten,6.0,49.0,82.0,59.8,511.0,2.0,2.4,2.0,2.4,6.2,5.62,10.4,85.2,115.3,
153.0,Micky D'Angelo,Southern Mississippi,CUSA,5.0,40.0,69.0,58.0,503.0,2.0,2.9,3.0,4.3,7.3,5.91,12.6,100.6,120.1,
154.0,Austen Everson,Ohio,MAC,5.0,26.0,52.0,50.0,491.0,3.0,5.8,1.0,1.9,9.4,9.73,18.9,98.2,144.5,
155.0,Adam Smith,Duke,ACC,7.0,49.0,94.0,52.1,488.0,2.0,2.1,0.0,0.0,5.2,5.62,10.0,69.7,102.8,
156.0,Greg Henderson,Rice,WAC,11.0,37.0,81.0,45.7,485.0,2.0,2.5,7.0,8.6,6.0,2.59,13.1,44.1,86.8,
157.0,Kyle Herm,Rice,WAC,10.0,24.0,46.0,52.2,479.0,4.0,8.7,3.0,6.5,10.4,9.22,20.0,47.9,155.3,
158.0,Jon Rivera,UCF,MAC,5.0,33.0,75.0,44.0,475.0,1.0,1.3,2.0,2.7,6.3,5.4,14.4,95.0,96.3,
159.0,Marcus Vick,Virginia Tech,Big East,11.0,30.0,57.0,52.6,475.0,2.0,3.5,5.0,8.8,8.3,5.09,15.8,43.2,116.7,
160.0,Matt Schabert,Wisconsin,Big Ten,12.0,33.0,65.0,50.8,441.0,1.0,1.5,4.0,6.2,6.8,4.32,13.4,36.8,100.5,
161.0,Cris Love,Iowa State,Big 12,7.0,28.0,65.0,43.1,424.0,3.0,4.6,2.0,3.1,6.5,6.06,15.1,60.6,106.9,
162.0,James Pinkney,East Carolina,CUSA,8.0,43.0,87.0,49.4,422.0,2.0,2.3,2.0,2.3,4.9,4.28,9.8,52.8,93.2,
163.0,Waye Terry,Iowa State,Big 12,6.0,42.0,96.0,43.8,415.0,2.0,2.1,4.0,4.2,4.3,2.86,9.9,69.2,78.6,
164.0,Marcus Randall,LSU,SEC,8.0,25.0,40.0,62.5,403.0,2.0,5.0,1.0,2.5,10.1,9.95,16.1,50.4,158.6,
165.0,Pat Julmiste,South Florida,CUSA,6.0,26.0,59.0,44.1,402.0,3.0,5.1,3.0,5.1,6.8,5.54,15.5,67.0,107.9,
166.0,Ken Bohnet,Eastern Michigan,MAC,6.0,39.0,68.0,57.4,400.0,1.0,1.5,5.0,7.4,5.9,2.87,10.3,66.7,96.9,
167.0,Tate Wallis,SMU,WAC,11.0,32.0,72.0,44.4,390.0,1.0,1.4,4.0,5.6,5.4,3.19,12.2,35.5,83.4,
168.0,Chris Phillips,SMU,WAC,5.0,35.0,65.0,53.8,389.0,2.0,3.1,2.0,3.1,6.0,5.22,11.1,77.8,108.1,
169.0,Justin Holland,Colorado State,MWC,9.0,37.0,55.0,67.3,381.0,3.0,5.5,2.0,3.6,6.9,6.38,10.3,42.3,136.2,
170.0,Paul Troth,East Carolina,CUSA,6.0,34.0,69.0,49.3,380.0,1.0,1.4,4.0,5.8,5.5,3.19,11.2,63.3,88.7,
171.0,Derrick Crudup,Miami (FL),Big East,7.0,34.0,57.0,59.6,377.0,3.0,5.3,3.0,5.3,6.6,5.3,11.1,53.9,122.0,
172.0,Nic Costa,Arizona,Pac-10,11.0,30.0,76.0,39.5,362.0,4.0,5.3,2.0,2.6,4.8,4.63,12.1,32.9,91.6,
173.0,Josh Harris,Middle Tennessee State,Sun Belt,4.0,29.0,48.0,60.4,347.0,4.0,8.3,2.0,4.2,7.2,7.02,12.0,86.8,140.3,
174.0,Omar Jacobs,Bowling Green,MAC,4.0,19.0,28.0,67.9,345.0,4.0,14.3,0.0,0.0,12.3,15.18,18.2,86.3,218.5,
175.0,Chris Dapolito,Duke,ACC,6.0,30.0,54.0,55.6,343.0,2.0,3.7,2.0,3.7,6.4,5.43,11.4,57.2,113.7,
176.0,Fabian Walker,Florida State,ACC,7.0,30.0,50.0,60.0,342.0,3.0,6.0,0.0,0.0,6.8,8.04,11.4,48.9,137.3,
177.0,Ryan O'Hara,Arizona,Pac-10,5.0,33.0,78.0,42.3,341.0,2.0,2.6,4.0,5.1,4.4,2.58,10.3,68.2,77.2,
178.0,Sonny Cumbie,Texas Tech,Big 12,6.0,35.0,56.0,62.5,340.0,1.0,1.8,1.0,1.8,6.1,5.63,9.7,56.7,115.8,
179.0,Daniel Da Prato,Louisiana-Monroe,Sun Belt,9.0,29.0,63.0,46.0,319.0,2.0,3.2,4.0,6.3,5.1,2.84,11.0,35.4,86.3,
180.0,Charles Hales,West Virginia,Big East,6.0,20.0,35.0,57.1,305.0,4.0,11.4,0.0,0.0,8.7,11.0,15.3,50.8,168.1,
181.0,Brett Elliott,Utah,MWC,2.0,29.0,59.0,49.2,304.0,2.0,3.4,2.0,3.4,5.2,4.31,10.5,152.0,96.8,
182.0,Carlyle Holiday,Notre Dame,Ind,11.0,37.0,75.0,49.3,304.0,1.0,1.3,4.0,5.3,4.1,1.92,8.2,27.6,77.1,
183.0,Paul Smith,Tulsa,WAC,7.0,21.0,34.0,61.8,297.0,1.0,2.9,1.0,2.9,8.7,8.0,14.1,42.4,139.0,
184.0,Brian Luke,Kansas,Big 12,4.0,28.0,47.0,59.6,285.0,3.0,6.4,3.0,6.4,6.1,4.47,10.2,71.3,118.8,
185.0,Curtis Falany,UAB,CUSA,3.0,18.0,33.0,54.5,280.0,3.0,9.1,2.0,6.1,8.5,7.58,15.6,93.3,143.7,
186.0,Kyle York,Mississippi State,SEC,7.0,20.0,42.0,47.6,273.0,1.0,2.4,4.0,9.5,6.5,2.69,13.7,39.0,91.0,
187.0,Maxie Causey,Louisiana Tech,WAC,12.0,21.0,48.0,43.8,273.0,1.0,2.1,1.0,2.1,5.7,5.17,13.0,22.8,94.2,
188.0,Josh Betts,Miami (OH),MAC,9.0,19.0,36.0,52.8,263.0,1.0,2.8,1.0,2.8,7.3,6.61,13.8,29.2,117.8,
189.0,Jeff Rowe,Nevada,WAC,3.0,22.0,47.0,46.8,259.0,1.0,2.1,3.0,6.4,5.5,3.06,11.8,86.3,87.4,
190.0,Benji Kamrath,Minnesota,Big Ten,11.0,16.0,34.0,47.1,250.0,1.0,2.9,2.0,5.9,7.4,5.29,15.6,22.7,106.8,
191.0,Sam Keller,Arizona State,Pac-10,6.0,23.0,43.0,53.5,247.0,1.0,2.3,1.0,2.3,5.7,5.16,10.7,41.2,104.8,
192.0,Damion Carter,Southern Mississippi,CUSA,5.0,26.0,41.0,63.4,238.0,2.0,4.9,2.0,4.9,5.8,4.59,9.2,47.6,118.5,
193.0,Paul Thompson,Oklahoma,Big 12,10.0,19.0,27.0,70.4,224.0,2.0,7.4,1.0,3.7,8.3,8.11,11.8,22.4,157.1,
194.0,Marques Hagans,Virginia,ACC,13.0,17.0,26.0,65.4,218.0,3.0,11.5,0.0,0.0,8.4,10.69,12.8,16.8,173.9,
195.0,Shane Steichen,Nevada-Las Vegas,MWC,3.0,17.0,38.0,44.7,215.0,0.0,0.0,1.0,2.6,5.7,4.47,12.6,71.7,87.0,
196.0,Josh Sullivan,Auburn,SEC,4.0,20.0,28.0,71.4,213.0,0.0,0.0,1.0,3.6,7.6,6.0,10.7,53.3,128.2,
197.0,Graeme McFarland,Indiana,Big Ten,9.0,18.0,36.0,50.0,206.0,1.0,2.8,0.0,0.0,5.7,6.28,11.4,22.9,107.2,
198.0,Alexander Webb,Northwestern,Big Ten,5.0,16.0,33.0,48.5,205.0,0.0,0.0,1.0,3.0,6.2,4.85,12.8,41.0,94.6,
