player_name,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Jamaar Taylor,WR,1981-02-25,Texas A&M,Big 12,2004,6,2001.0,20.515,0.269,0.256,0.0,0.0,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,25.988,115.90648
Ryan Krause,TE,1981-06-16,Oregon,Pac-10,2004,6,,,0.032,0.019,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,31.324,144.0904
Triandos Luke,WR,1981-12-24,Alabama,SEC,2004,6,2003.0,21.687,0.204,0.204,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,27.752,125.16152
Nate Lawrie,TE,1981-10-17,TAM,,2004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Hall,QB,1980-11-26,Rice,CUSA,2004,6,,,0.0,0.0,0.065,0.046,0.014,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harris,QB,1989-04-27,Wake Forest,ACC,2004,6,2000.0,11.348,0.021,0.02,0.875,0.831,0.375,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,31.397,150.07766
Troy Fleming,RB,1980-10-01,Tennessee,SEC,2004,6,,,0.023,0.023,0.0,0.0,0.068,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Sorgi,QB,1980-12-03,Wisconsin,Big Ten,2004,6,2003.0,22.743,0.003,0.003,0.87,0.87,0.041,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Kranchick,TE,1979-12-13,Penn State,Big Ten,2004,6,,,0.119,0.119,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeris McIntyre,WR,1981-07-04,Auburn,SEC,2004,6,2003.0,22.16,0.274,0.274,0.0,0.0,0.006,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,28.31,126.26259999999999
Clarence Moore,WR,1982-09-24,Toledo,MAC,2004,6,2003.0,20.936,0.403,0.282,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,24.381,110.93355
Jeff Smoker,QB,1981-06-13,Michigan State,Big Ten,2004,6,2000.0,19.22,0.003,0.003,0.984,0.984,0.054,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,27.87,137.9565
John Navarre,QB,1980-09-09,Michigan,Big Ten,2004,7,2001.0,20.977,0.012,0.012,0.957,0.957,0.008,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,28.425,147.52575000000002
