Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
53.0,Aaron Duckworth,Idaho,Sun Belt,12.0,193.0,1025.0,5.3,4.0,85.4,15.0,193.0,12.9,0.0,16.1,208.0,1218.0,5.9,4.0,
54.0,Cam Akers*,Florida State,ACC,13.0,194.0,1024.0,5.3,7.0,78.8,16.0,116.0,7.3,1.0,8.9,210.0,1140.0,5.4,8.0,
55.0,Jonathan Ward*,Central Michigan,MAC,13.0,179.0,1017.0,5.7,10.0,78.2,48.0,470.0,9.8,3.0,36.2,227.0,1487.0,6.6,13.0,
56.0,Jordan Wilkins,Ole Miss,SEC,12.0,155.0,1011.0,6.5,9.0,84.3,26.0,241.0,9.3,1.0,20.1,181.0,1252.0,6.9,10.0,
57.0,A.J. Ouellette*,Ohio,MAC,13.0,192.0,1006.0,5.2,7.0,77.4,10.0,97.0,9.7,1.0,7.5,202.0,1103.0,5.5,8.0,
58.0,Caleb Huntley,Ball State,MAC,12.0,210.0,1003.0,4.8,3.0,83.6,6.0,26.0,4.3,0.0,2.2,216.0,1029.0,4.8,3.0,
59.0,Damien Harris*,Alabama,SEC,14.0,135.0,1000.0,7.4,11.0,71.4,12.0,91.0,7.6,0.0,6.5,147.0,1091.0,7.4,11.0,
60.0,Karan Higdon*,Michigan,Big Ten,13.0,164.0,994.0,6.1,11.0,76.5,8.0,131.0,16.4,0.0,10.1,172.0,1125.0,6.5,11.0,
61.0,Nick Fitzgerald*,Mississippi State,SEC,12.0,162.0,984.0,6.1,14.0,82.0,0.0,0.0,,0.0,0.0,162.0,984.0,6.1,14.0,
62.0,Marquis Young,Massachusetts,Ind,12.0,182.0,982.0,5.4,9.0,81.8,35.0,280.0,8.0,2.0,23.3,217.0,1262.0,5.8,11.0,
63.0,Rodney Smith,Minnesota,Big Ten,12.0,229.0,977.0,4.3,3.0,81.4,17.0,107.0,6.3,0.0,8.9,246.0,1084.0,4.4,3.0,
64.0,Travis Homer*,Miami (FL),ACC,13.0,163.0,966.0,5.9,8.0,74.3,18.0,219.0,12.2,1.0,16.8,181.0,1185.0,6.5,9.0,
65.0,Darius Tice*,South Florida,American,12.0,178.0,943.0,5.3,11.0,78.6,2.0,13.0,6.5,0.0,1.1,180.0,956.0,5.3,11.0,
66.0,Larry Rose III*,New Mexico State,Sun Belt,12.0,187.0,939.0,5.0,10.0,78.3,55.0,522.0,9.5,2.0,43.5,242.0,1461.0,6.0,12.0,
67.0,Nathan Rourke*,Ohio,MAC,13.0,137.0,912.0,6.7,21.0,70.2,2.0,18.0,9.0,1.0,1.4,139.0,930.0,6.7,22.0,
68.0,Matt Colburn*,Wake Forest,ACC,13.0,166.0,904.0,5.4,7.0,69.5,11.0,67.0,6.1,0.0,5.2,177.0,971.0,5.5,7.0,
69.0,LJ Scott*,Michigan State,Big Ten,12.0,201.0,898.0,4.5,8.0,74.8,20.0,146.0,7.3,1.0,12.2,221.0,1044.0,4.7,9.0,
70.0,Ty Johnson,Maryland,Big Ten,12.0,137.0,875.0,6.4,5.0,72.9,5.0,60.0,12.0,1.0,5.0,142.0,935.0,6.6,6.0,
71.0,Patrick Taylor Jr.*,Memphis,American,12.0,157.0,866.0,5.5,13.0,72.2,19.0,148.0,7.8,1.0,12.3,176.0,1014.0,5.8,14.0,
72.0,Jalen Hurts*,Alabama,SEC,14.0,154.0,855.0,5.6,8.0,61.1,1.0,-1.0,-1.0,0.0,-0.1,155.0,854.0,5.5,8.0,
73.0,Kelton Moore,Nevada,MWC,12.0,164.0,855.0,5.2,4.0,71.3,19.0,189.0,9.9,1.0,15.8,183.0,1044.0,5.7,5.0,
74.0,J.J. Taylor*,Arizona,Pac-12,13.0,146.0,847.0,5.8,5.0,65.2,12.0,49.0,4.1,2.0,3.8,158.0,896.0,5.7,7.0,
75.0,Emmanuel Reed,Buffalo,MAC,12.0,199.0,840.0,4.2,9.0,70.0,11.0,116.0,10.5,1.0,9.7,210.0,956.0,4.6,10.0,
76.0,Jordan Ellis*,Virginia,ACC,13.0,215.0,836.0,3.9,6.0,64.3,22.0,137.0,6.2,1.0,10.5,237.0,973.0,4.1,7.0,
77.0,Ralph Webb,Vanderbilt,SEC,12.0,192.0,831.0,4.3,10.0,69.3,13.0,188.0,14.5,1.0,15.7,205.0,1019.0,5.0,11.0,
78.0,Lajuan Hunt*,Utah State,MWC,13.0,169.0,828.0,4.9,11.0,63.7,30.0,187.0,6.2,1.0,14.4,199.0,1015.0,5.1,12.0,
79.0,Arion Worthman,Air Force,MWC,10.0,217.0,821.0,3.8,13.0,82.1,1.0,24.0,24.0,0.0,2.4,218.0,845.0,3.9,13.0,
80.0,Darrel Williams*,LSU,SEC,13.0,145.0,820.0,5.7,9.0,63.1,23.0,331.0,14.4,0.0,25.5,168.0,1151.0,6.9,9.0,
81.0,Tyler King*,Marshall,CUSA,11.0,158.0,820.0,5.2,7.0,74.5,12.0,97.0,8.1,0.0,8.8,170.0,917.0,5.4,7.0,
82.0,Alex Barnes*,Kansas State,Big 12,13.0,146.0,819.0,5.6,7.0,63.0,5.0,29.0,5.8,0.0,2.2,151.0,848.0,5.6,7.0,
83.0,Shaun Wilson*,Duke,ACC,13.0,162.0,818.0,5.0,6.0,62.9,36.0,263.0,7.3,4.0,20.2,198.0,1081.0,5.5,10.0,
84.0,Trey Ragas,Louisiana,Sun Belt,11.0,142.0,813.0,5.7,9.0,73.9,9.0,32.0,3.6,0.0,2.9,151.0,845.0,5.6,9.0,
85.0,Darnell Woolfolk*,Army,Ind,10.0,157.0,812.0,5.2,14.0,81.2,0.0,0.0,,0.0,0.0,157.0,812.0,5.2,14.0,
86.0,Keion Davis*,Marshall,CUSA,13.0,179.0,812.0,4.5,6.0,62.5,19.0,134.0,7.1,0.0,10.3,198.0,946.0,4.8,6.0,
87.0,Wesley Fields,Georgia Southern,Sun Belt,12.0,173.0,811.0,4.7,5.0,67.6,11.0,71.0,6.5,1.0,5.9,184.0,882.0,4.8,6.0,
88.0,Ryan Nall,Oregon State,Pac-12,11.0,165.0,810.0,4.9,8.0,73.6,27.0,240.0,8.9,2.0,21.8,192.0,1050.0,5.5,10.0,
89.0,Ian Eriksen,Eastern Michigan,MAC,12.0,179.0,805.0,4.5,8.0,67.1,16.0,119.0,7.4,0.0,9.9,195.0,924.0,4.7,8.0,
90.0,Brandon Wimbush*,Notre Dame,Ind,12.0,141.0,803.0,5.7,14.0,66.9,0.0,0.0,,0.0,0.0,141.0,803.0,5.7,14.0,
91.0,J.T. Barrett*,Ohio State,Big Ten,14.0,165.0,798.0,4.8,12.0,57.0,0.0,0.0,,0.0,0.0,165.0,798.0,4.8,12.0,
92.0,Trayveon Williams*,Texas A&M,SEC,12.0,173.0,798.0,4.6,8.0,66.5,20.0,192.0,9.6,0.0,16.0,193.0,990.0,5.1,8.0,
93.0,Justin Stockton*,Texas Tech,Big 12,11.0,132.0,797.0,6.0,4.0,72.5,27.0,235.0,8.7,1.0,21.4,159.0,1032.0,6.5,5.0,
94.0,D'Ernest Johnson*,South Florida,American,12.0,193.0,796.0,4.1,7.0,66.3,11.0,153.0,13.9,2.0,12.8,204.0,949.0,4.7,9.0,
95.0,Josh Cleveland,Bowling Green,MAC,12.0,147.0,793.0,5.4,4.0,66.1,12.0,101.0,8.4,0.0,8.4,159.0,894.0,5.6,4.0,
96.0,Alex Gardner*,Florida International,CUSA,13.0,181.0,791.0,4.4,6.0,60.8,17.0,70.0,4.1,0.0,5.4,198.0,861.0,4.3,6.0,
97.0,Adrian Killins*,UCF,American,13.0,122.0,790.0,6.5,10.0,60.8,25.0,169.0,6.8,1.0,13.0,147.0,959.0,6.5,11.0,
98.0,Kenny Young,Miami (OH),MAC,11.0,145.0,781.0,5.4,6.0,71.0,27.0,250.0,9.3,2.0,22.7,172.0,1031.0,6.0,8.0,
99.0,Armani Rogers,Nevada-Las Vegas,MWC,10.0,146.0,780.0,5.3,8.0,78.0,0.0,0.0,,0.0,0.0,146.0,780.0,5.3,8.0,
100.0,John Kelly,Tennessee,SEC,11.0,189.0,778.0,4.1,9.0,70.7,37.0,299.0,8.1,0.0,27.2,226.0,1077.0,4.8,9.0,
101.0,Jordan Chunn*,Troy,Sun Belt,10.0,154.0,774.0,5.0,10.0,77.4,28.0,204.0,7.3,0.0,20.4,182.0,978.0,5.4,10.0,
102.0,Tyrone Owens,New Mexico,MWC,12.0,139.0,770.0,5.5,4.0,64.2,7.0,20.0,2.9,0.0,1.7,146.0,790.0,5.4,4.0,
103.0,Darius Anderson*,Texas Christian,Big 12,11.0,128.0,768.0,6.0,8.0,69.8,9.0,57.0,6.3,0.0,5.2,137.0,825.0,6.0,8.0,
104.0,Travis Etienne*,Clemson,ACC,13.0,107.0,766.0,7.2,13.0,58.9,5.0,57.0,11.4,0.0,4.4,112.0,823.0,7.3,13.0,
105.0,Juwan Washington*,San Diego State,MWC,13.0,127.0,759.0,6.0,7.0,58.4,3.0,39.0,13.0,0.0,3.0,130.0,798.0,6.1,7.0,
106.0,Dorian Brown*,Ohio,MAC,12.0,111.0,757.0,6.8,11.0,63.1,3.0,16.0,5.3,0.0,1.3,114.0,773.0,6.8,11.0,
107.0,Jacques Patrick*,Florida State,ACC,11.0,134.0,748.0,5.6,7.0,68.0,21.0,171.0,8.1,0.0,15.5,155.0,919.0,5.9,7.0,
108.0,Trey Sermon*,Oklahoma,Big 12,14.0,121.0,744.0,6.1,5.0,53.1,16.0,139.0,8.7,2.0,9.9,137.0,883.0,6.4,7.0,
109.0,Ray Lawry,Old Dominion,CUSA,8.0,132.0,742.0,5.6,7.0,92.8,11.0,55.0,5.0,1.0,6.9,143.0,797.0,5.6,8.0,
110.0,Timothy McVey,Air Force,MWC,12.0,128.0,741.0,5.8,7.0,61.8,6.0,136.0,22.7,0.0,11.3,134.0,877.0,6.5,7.0,
111.0,Greg Howell*,Florida Atlantic,CUSA,12.0,112.0,740.0,6.6,5.0,61.7,0.0,0.0,,0.0,0.0,112.0,740.0,6.6,5.0,
112.0,Jordan Huff*,Northern Illinois,MAC,9.0,127.0,740.0,5.8,4.0,82.2,7.0,43.0,6.1,2.0,4.8,134.0,783.0,5.8,6.0,
113.0,Ben LeMay,Charlotte,CUSA,12.0,137.0,732.0,5.3,2.0,61.0,9.0,88.0,9.8,2.0,7.3,146.0,820.0,5.6,4.0,
114.0,Andrew Clair,Bowling Green,MAC,11.0,107.0,725.0,6.8,4.0,65.9,13.0,129.0,9.9,2.0,11.7,120.0,854.0,7.1,6.0,
115.0,Osharmar Abercrombie,Coastal Carolina,Sun Belt,12.0,140.0,724.0,5.2,7.0,60.3,8.0,73.0,9.1,0.0,6.1,148.0,797.0,5.4,7.0,
116.0,Shai Werts,Georgia Southern,Sun Belt,11.0,207.0,722.0,3.5,3.0,65.6,1.0,30.0,30.0,0.0,2.7,208.0,752.0,3.6,3.0,
117.0,Warren Wand*,Arkansas State,Sun Belt,10.0,138.0,715.0,5.2,6.0,71.5,17.0,145.0,8.5,1.0,14.5,155.0,860.0,5.5,7.0,
118.0,Gus Edwards,Rutgers,Big Ten,12.0,164.0,713.0,4.3,6.0,59.4,13.0,103.0,7.9,1.0,8.6,177.0,816.0,4.6,7.0,
119.0,Squally Canada,BYU,Ind,11.0,120.0,710.0,5.9,6.0,64.5,3.0,9.0,3.0,0.0,0.8,123.0,719.0,5.8,6.0,
120.0,Morgon Ellison,Indiana,Big Ten,11.0,143.0,704.0,4.9,6.0,64.0,9.0,60.0,6.7,0.0,5.5,152.0,764.0,5.0,6.0,
121.0,Larry Rountree III*,Missouri,SEC,13.0,126.0,703.0,5.6,6.0,54.1,5.0,57.0,11.4,0.0,4.4,131.0,760.0,5.8,6.0,
122.0,Shakif Seymour*,Toledo,MAC,14.0,116.0,702.0,6.1,12.0,50.1,10.0,104.0,10.4,1.0,7.4,126.0,806.0,6.4,13.0,
123.0,Brittain Brown*,Duke,ACC,13.0,130.0,701.0,5.4,7.0,53.9,14.0,161.0,11.5,0.0,12.4,144.0,862.0,6.0,7.0,
124.0,Shamari Brooks,Tulsa,American,9.0,119.0,687.0,5.8,10.0,76.3,1.0,4.0,4.0,0.0,0.4,120.0,691.0,5.8,10.0,
125.0,Chris Evans*,Michigan,Big Ten,13.0,135.0,685.0,5.1,6.0,52.7,16.0,157.0,9.8,1.0,12.1,151.0,842.0,5.6,7.0,
126.0,Nic Smith*,North Texas,CUSA,14.0,138.0,684.0,5.0,6.0,48.9,18.0,140.0,7.8,2.0,10.0,156.0,824.0,5.3,8.0,
127.0,John Wolford*,Wake Forest,ACC,12.0,140.0,683.0,4.9,10.0,56.9,0.0,0.0,,0.0,0.0,140.0,683.0,4.9,10.0,
128.0,Tyler Nevens,San Jose State,MWC,11.0,163.0,670.0,4.1,1.0,60.9,4.0,55.0,13.8,0.0,5.0,167.0,725.0,4.3,1.0,
129.0,Kalen Ballage*,Arizona State,Pac-12,13.0,157.0,669.0,4.3,6.0,51.5,20.0,91.0,4.6,0.0,7.0,177.0,760.0,4.3,6.0,
130.0,Tavien Feaster*,Clemson,ACC,14.0,107.0,669.0,6.3,7.0,47.8,12.0,112.0,9.3,1.0,8.0,119.0,781.0,6.6,8.0,
131.0,Kelly Bryant*,Clemson,ACC,14.0,192.0,665.0,3.5,11.0,47.5,0.0,0.0,,0.0,0.0,192.0,665.0,3.5,11.0,
132.0,Khalil Herbert,Kansas,Big 12,11.0,120.0,663.0,5.5,4.0,60.3,8.0,38.0,4.8,0.0,3.5,128.0,701.0,5.5,4.0,
133.0,Alonzo Smith,Miami (OH),MAC,10.0,144.0,660.0,4.6,2.0,66.0,9.0,74.0,8.2,0.0,7.4,153.0,734.0,4.8,2.0,
134.0,Jalen Rhodes,UTSA,CUSA,11.0,134.0,659.0,4.9,5.0,59.9,15.0,136.0,9.1,1.0,12.4,149.0,795.0,5.3,6.0,
135.0,David Williams,Arkansas,SEC,12.0,117.0,656.0,5.6,8.0,54.7,10.0,171.0,17.1,2.0,14.3,127.0,827.0,6.5,10.0,
