Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
284.0,Adonai Mitchell*,Georgia,SEC,15.0,29.0,426.0,14.7,4.0,28.4,0.0,0.0,,0.0,0.0,29.0,426.0,14.7,4.0,
285.0,Ezra Naylor II*,Tulsa,American,13.0,33.0,426.0,12.9,3.0,32.8,0.0,0.0,,0.0,0.0,33.0,426.0,12.9,3.0,
286.0,Tre Tucker*,Cincinnati,American,14.0,34.0,426.0,12.5,2.0,30.4,2.0,12.0,6.0,0.0,0.9,36.0,438.0,12.2,2.0,
287.0,Dillon Johnson*,Mississippi State,SEC,13.0,65.0,422.0,6.5,1.0,32.5,89.0,485.0,5.4,4.0,37.3,154.0,907.0,5.9,5.0,
288.0,Stefan Cobbs,Boise State,MWC,9.0,34.0,421.0,12.4,5.0,46.8,2.0,5.0,2.5,0.0,0.6,36.0,426.0,11.8,5.0,
289.0,Roman Wilson*,Michigan,Big Ten,13.0,25.0,420.0,16.8,3.0,32.3,3.0,59.0,19.7,0.0,4.5,28.0,479.0,17.1,3.0,
290.0,Kris Hutson*,Oregon,Pac-12,14.0,31.0,419.0,13.5,2.0,29.9,1.0,-9.0,-9.0,0.0,-0.6,32.0,410.0,12.8,2.0,
291.0,Christian Sims,Bowling Green,MAC,11.0,41.0,418.0,10.2,2.0,38.0,1.0,4.0,4.0,1.0,0.4,42.0,422.0,10.0,3.0,
292.0,Elijah Kothe*,San Diego State,MWC,14.0,31.0,418.0,13.5,1.0,29.9,0.0,0.0,,0.0,0.0,31.0,418.0,13.5,1.0,
293.0,LV Bunkley-Shelton*,Arizona State,Pac-12,13.0,33.0,418.0,12.7,2.0,32.2,0.0,0.0,,0.0,0.0,33.0,418.0,12.7,2.0,
294.0,Malik Nabers*,LSU,SEC,11.0,28.0,417.0,14.9,4.0,37.9,4.0,23.0,5.8,0.0,2.1,32.0,440.0,13.8,4.0,
295.0,Peter LeBlanc*,Louisiana,Sun Belt,13.0,37.0,417.0,11.3,1.0,32.1,1.0,-1.0,-1.0,0.0,-0.1,38.0,416.0,10.9,1.0,
296.0,Kendric Pryor*,Wisconsin,Big Ten,13.0,32.0,416.0,13.0,3.0,32.0,8.0,41.0,5.1,0.0,3.2,40.0,457.0,11.4,3.0,
297.0,Rome Odunze,Washington,Pac-12,9.0,41.0,415.0,10.1,4.0,46.1,2.0,13.0,6.5,0.0,1.4,43.0,428.0,10.0,4.0,
298.0,Ty McCullouch,Colorado State,MWC,12.0,24.0,415.0,17.3,1.0,34.6,3.0,14.0,4.7,0.0,1.2,27.0,429.0,15.9,1.0,
299.0,Isaiah Hamilton,San Jose State,MWC,12.0,31.0,414.0,13.4,2.0,34.5,0.0,0.0,,0.0,0.0,31.0,414.0,13.4,2.0,
300.0,Jared Smart,Hawaii,MWC,13.0,26.0,414.0,15.9,2.0,31.8,0.0,0.0,,0.0,0.0,26.0,414.0,15.9,2.0,
301.0,Justin McGriff*,Utah State,MWC,14.0,35.0,414.0,11.8,6.0,29.6,0.0,0.0,,0.0,0.0,35.0,414.0,11.8,6.0,
302.0,Kemore Gamble*,Florida,SEC,13.0,31.0,414.0,13.4,4.0,31.8,0.0,0.0,,0.0,0.0,31.0,414.0,13.4,4.0,
303.0,Jason Ivory,Memphis,American,11.0,29.0,413.0,14.2,3.0,37.5,0.0,0.0,,0.0,0.0,29.0,413.0,14.2,3.0,
304.0,JaVonta Payton*,Tennessee,SEC,13.0,18.0,413.0,22.9,6.0,31.8,1.0,-2.0,-2.0,0.0,-0.2,19.0,411.0,21.6,6.0,
305.0,John Samuel Shenker*,Auburn,SEC,13.0,33.0,413.0,12.5,0.0,31.8,1.0,1.0,1.0,0.0,0.1,34.0,414.0,12.2,0.0,
306.0,Cameron Latu*,Alabama,SEC,15.0,26.0,410.0,15.8,8.0,27.3,0.0,0.0,,0.0,0.0,26.0,410.0,15.8,8.0,
307.0,Octavius Evans,Boise State,MWC,10.0,34.0,409.0,12.0,2.0,40.9,3.0,22.0,7.3,1.0,2.2,37.0,431.0,11.6,3.0,
308.0,Jimmy Horn Jr.,South Florida,American,12.0,30.0,408.0,13.6,1.0,34.0,5.0,12.0,2.4,0.0,1.0,35.0,420.0,12.0,1.0,
309.0,Slade Bolden*,Alabama,SEC,15.0,42.0,408.0,9.7,3.0,27.2,1.0,0.0,0.0,0.0,0.0,43.0,408.0,9.5,3.0,
310.0,Beaux Collins*,Clemson,ACC,11.0,31.0,407.0,13.1,3.0,37.0,0.0,0.0,,0.0,0.0,31.0,407.0,13.1,3.0,
311.0,Cameron Odom,Ohio,MAC,12.0,29.0,406.0,14.0,1.0,33.8,1.0,0.0,0.0,0.0,0.0,30.0,406.0,13.5,1.0,
312.0,Keyshawn Smith,Miami (FL),ACC,12.0,33.0,405.0,12.3,3.0,33.8,0.0,0.0,,0.0,0.0,33.0,405.0,12.3,3.0,
313.0,Ke'Shawn Williams*,Wake Forest,ACC,14.0,27.0,404.0,15.0,3.0,28.9,0.0,0.0,,0.0,0.0,27.0,404.0,15.0,3.0,
314.0,Andre Bodison,New Mexico State,Ind,10.0,32.0,403.0,12.6,0.0,40.3,1.0,4.0,4.0,0.0,0.4,33.0,407.0,12.3,0.0,
315.0,Travis Dye*,Oregon,Pac-12,14.0,46.0,402.0,8.7,2.0,28.7,211.0,1271.0,6.0,16.0,90.8,257.0,1673.0,6.5,18.0,
316.0,Tre'Shaun Harrison*,Oregon State,Pac-12,13.0,29.0,401.0,13.8,3.0,30.8,6.0,23.0,3.8,0.0,1.8,35.0,424.0,12.1,3.0,
317.0,Michael Woods*,Oklahoma,Big 12,11.0,35.0,400.0,11.4,2.0,36.4,1.0,2.0,2.0,0.0,0.2,36.0,402.0,11.2,2.0,
318.0,Jadon Haselwood*,Oklahoma,Big 12,12.0,39.0,399.0,10.2,6.0,33.3,0.0,0.0,,0.0,0.0,39.0,399.0,10.2,6.0,
319.0,Jalen Walker*,Miami (OH),MAC,13.0,31.0,399.0,12.9,4.0,30.7,1.0,-4.0,-4.0,0.0,-0.3,32.0,395.0,12.3,4.0,
320.0,Sean Ryan*,West Virginia,Big 12,13.0,25.0,399.0,16.0,3.0,30.7,0.0,0.0,,0.0,0.0,25.0,399.0,16.0,3.0,
321.0,Christian Trahan*,Houston,American,14.0,37.0,398.0,10.8,2.0,28.4,0.0,0.0,,0.0,0.0,37.0,398.0,10.8,2.0,
322.0,Rajae' Johnson-Sanders*,UAB,CUSA,12.0,23.0,394.0,17.1,1.0,32.8,2.0,-1.0,-0.5,0.0,-0.1,25.0,393.0,15.7,1.0,
323.0,Jahcour Pearson*,Ole Miss,SEC,12.0,26.0,392.0,15.1,0.0,32.7,4.0,30.0,7.5,0.0,2.5,30.0,422.0,14.1,0.0,
324.0,Mike Brown-Stephens*,Minnesota,Big Ten,13.0,23.0,392.0,17.0,1.0,30.2,0.0,0.0,,0.0,0.0,23.0,392.0,17.0,1.0,
325.0,Jermaine Braddock,San Jose State,MWC,12.0,27.0,390.0,14.4,2.0,32.5,0.0,0.0,,0.0,0.0,27.0,390.0,14.4,2.0,
326.0,Courtney Jackson,Syracuse,ACC,12.0,37.0,389.0,10.5,3.0,32.4,4.0,23.0,5.8,0.0,1.9,41.0,412.0,10.0,3.0,
327.0,Devaughn Vele*,Utah,Pac-12,14.0,23.0,389.0,16.9,1.0,27.8,0.0,0.0,,0.0,0.0,23.0,389.0,16.9,1.0,
328.0,Donald Stewart*,Wake Forest,ACC,14.0,33.0,388.0,11.8,1.0,27.7,0.0,0.0,,0.0,0.0,33.0,388.0,11.8,1.0,
329.0,Jeremiah Hunter,California,Pac-12,9.0,21.0,388.0,18.5,1.0,43.1,0.0,0.0,,0.0,0.0,21.0,388.0,18.5,1.0,
330.0,Avery Davis*,Notre Dame,Ind,9.0,27.0,386.0,14.3,4.0,42.9,3.0,19.0,6.3,0.0,2.1,30.0,405.0,13.5,4.0,
331.0,Ontaria Wilson,Florida State,ACC,11.0,23.0,382.0,16.6,5.0,34.7,1.0,10.0,10.0,0.0,0.9,24.0,392.0,16.3,5.0,
332.0,Tyrell Robinson*,Army,Ind,14.0,13.0,382.0,29.4,3.0,27.3,78.0,615.0,7.9,3.0,43.9,91.0,997.0,11.0,6.0,
333.0,Elijah Spencer,Charlotte,CUSA,12.0,28.0,381.0,13.6,6.0,31.8,0.0,0.0,,0.0,0.0,28.0,381.0,13.6,6.0,
334.0,Jason Pirtle*,North Texas,CUSA,13.0,41.0,380.0,9.3,2.0,29.2,0.0,0.0,,0.0,0.0,41.0,380.0,9.3,2.0,
335.0,Mario Williams*,Oklahoma,Big 12,12.0,35.0,380.0,10.9,4.0,31.7,2.0,12.0,6.0,0.0,1.0,37.0,392.0,10.6,4.0,
336.0,Omar Manning,Nebraska,Big Ten,11.0,26.0,380.0,14.6,2.0,34.5,3.0,1.0,0.3,0.0,0.1,29.0,381.0,13.1,2.0,
337.0,Tyler Walton,Ohio,MAC,12.0,32.0,380.0,11.9,2.0,31.7,3.0,28.0,9.3,0.0,2.3,35.0,408.0,11.7,2.0,
338.0,Jordan Whittington,Texas,Big 12,8.0,26.0,377.0,14.5,3.0,47.1,1.0,8.0,8.0,0.0,1.0,27.0,385.0,14.3,3.0,
339.0,Shae Wyatt,Tulane,American,12.0,33.0,376.0,11.4,3.0,31.3,0.0,0.0,,0.0,0.0,33.0,376.0,11.4,3.0,
340.0,Curtis Hodges*,Arizona State,Pac-12,11.0,20.0,373.0,18.7,2.0,33.9,0.0,0.0,,0.0,0.0,20.0,373.0,18.7,2.0,
341.0,Xavier Restrepo,Miami (FL),ACC,12.0,24.0,373.0,15.5,2.0,31.1,0.0,0.0,,0.0,0.0,24.0,373.0,15.5,2.0,
342.0,Drew Estrada*,Baylor,Big 12,12.0,30.0,367.0,12.2,1.0,30.6,8.0,4.0,0.5,0.0,0.3,38.0,371.0,9.8,1.0,
343.0,Joel Wilson*,Central Michigan,MAC,13.0,31.0,367.0,11.8,5.0,28.2,1.0,0.0,0.0,0.0,0.0,32.0,367.0,11.5,5.0,
344.0,Dylan Wright*,Minnesota,Big Ten,12.0,18.0,365.0,20.3,2.0,30.4,0.0,0.0,,0.0,0.0,18.0,365.0,20.3,2.0,
345.0,Ronnie Rivers*,Fresno State,MWC,11.0,34.0,364.0,10.7,2.0,33.1,161.0,788.0,4.9,5.0,71.6,195.0,1152.0,5.9,7.0,
346.0,Trevor Wilson,Kansas,Big 12,12.0,27.0,364.0,13.5,1.0,30.3,7.0,42.0,6.0,0.0,3.5,34.0,406.0,11.9,1.0,
347.0,Adonicas Sanders,Georgia Tech,ACC,11.0,29.0,362.0,12.5,3.0,32.9,0.0,0.0,,0.0,0.0,29.0,362.0,12.5,3.0,
348.0,Isaiah Esdale*,West Virginia,Big 12,10.0,29.0,362.0,12.5,1.0,36.2,1.0,-7.0,-7.0,0.0,-0.7,30.0,355.0,11.8,1.0,
349.0,Isiah Cox,Ohio,MAC,10.0,30.0,362.0,12.1,4.0,36.2,4.0,56.0,14.0,1.0,5.6,34.0,418.0,12.3,5.0,
350.0,Trae Barry,Boston College,ACC,10.0,21.0,362.0,17.2,4.0,36.2,0.0,0.0,,0.0,0.0,21.0,362.0,17.2,4.0,
351.0,Ben Sims*,Baylor,Big 12,14.0,31.0,361.0,11.6,6.0,25.8,1.0,1.0,1.0,1.0,0.1,32.0,362.0,11.3,7.0,
352.0,Brian Thomas Jr.*,LSU,SEC,12.0,28.0,359.0,12.8,2.0,29.9,2.0,6.0,3.0,0.0,0.5,30.0,365.0,12.2,2.0,
353.0,Kyren Williams*,Notre Dame,Ind,12.0,42.0,359.0,8.5,3.0,29.9,204.0,1002.0,4.9,14.0,83.5,246.0,1361.0,5.5,17.0,
354.0,Daniel Bellinger*,San Diego State,MWC,13.0,31.0,357.0,11.5,2.0,27.5,1.0,2.0,2.0,0.0,0.2,32.0,359.0,11.2,2.0,
355.0,Luke Whittemore,Troy,Sun Belt,10.0,22.0,357.0,16.2,1.0,35.7,0.0,0.0,,0.0,0.0,22.0,357.0,16.2,1.0,
356.0,Michael Young*,Cincinnati,American,12.0,28.0,353.0,12.6,2.0,29.4,0.0,0.0,,0.0,0.0,28.0,353.0,12.6,2.0,
357.0,Will Derrick,Louisiana-Monroe,Sun Belt,12.0,25.0,353.0,14.1,1.0,29.4,0.0,0.0,,0.0,0.0,25.0,353.0,14.1,1.0,
358.0,Keagan Johnson*,Iowa,Big Ten,13.0,18.0,352.0,19.6,2.0,27.1,3.0,8.0,2.7,0.0,0.6,21.0,360.0,17.1,2.0,
359.0,Amare Jones,Georgia Southern,Sun Belt,10.0,25.0,351.0,14.0,0.0,35.1,41.0,196.0,4.8,0.0,19.6,66.0,547.0,8.3,0.0,
360.0,Braden Lenzy*,Notre Dame,Ind,13.0,32.0,350.0,10.9,3.0,26.9,5.0,69.0,13.8,0.0,5.3,37.0,419.0,11.3,3.0,
361.0,Eddie Lewis,Memphis,American,12.0,22.0,349.0,15.9,4.0,29.1,0.0,0.0,,0.0,0.0,22.0,349.0,15.9,4.0,
