Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
305.0,Tarean Folston,Notre Dame,Ind,10.0,77.0,334.0,4.3,2.0,33.4,8.0,66.0,8.3,0.0,6.6,85.0,400.0,4.7,2.0,
306.0,Tyler Rogers,New Mexico State,Sun Belt,11.0,124.0,333.0,2.7,4.0,30.3,1.0,9.0,9.0,1.0,0.8,125.0,342.0,2.7,5.0,
307.0,Chad Kelly,Ole Miss,SEC,9.0,81.0,332.0,4.1,5.0,36.9,0.0,0.0,,0.0,0.0,81.0,332.0,4.1,5.0,
308.0,Tony Pittman,Marshall,CUSA,12.0,63.0,331.0,5.3,2.0,27.6,5.0,18.0,3.6,0.0,1.5,68.0,349.0,5.1,2.0,
309.0,Kenny Potter,San Jose State,MWC,11.0,138.0,330.0,2.4,7.0,30.0,0.0,0.0,,0.0,0.0,138.0,330.0,2.4,7.0,
310.0,Victor Bolden,Oregon State,Pac-12,12.0,28.0,329.0,11.8,2.0,27.4,46.0,542.0,11.8,2.0,45.2,74.0,871.0,11.8,4.0,
311.0,Alexander Mattison*,Boise State,MWC,13.0,67.0,328.0,4.9,4.0,25.2,5.0,54.0,10.8,0.0,4.2,72.0,382.0,5.3,4.0,
312.0,Stephen Johnson*,Kentucky,SEC,12.0,97.0,327.0,3.4,3.0,27.3,1.0,-3.0,-3.0,0.0,-0.3,98.0,324.0,3.3,3.0,
313.0,Bryant Shirreffs,Connecticut,American,9.0,144.0,326.0,2.3,2.0,36.2,0.0,0.0,,0.0,0.0,144.0,326.0,2.3,2.0,
314.0,Tyler Campbell*,Army,Ind,12.0,34.0,326.0,9.6,2.0,27.2,2.0,71.0,35.5,0.0,5.9,36.0,397.0,11.0,2.0,
315.0,Adrian Killins*,UCF,American,13.0,50.0,325.0,6.5,4.0,25.0,18.0,198.0,11.0,2.0,15.2,68.0,523.0,7.7,6.0,
316.0,Taylor Martin,Kansas,Big 12,10.0,91.0,324.0,3.6,4.0,32.4,6.0,45.0,7.5,1.0,4.5,97.0,369.0,3.8,5.0,
317.0,Soso Jamabo,UCLA,Pac-12,11.0,82.0,321.0,3.9,3.0,29.2,16.0,197.0,12.3,0.0,17.9,98.0,518.0,5.3,3.0,
318.0,Kam Martin*,Auburn,SEC,10.0,44.0,320.0,7.3,3.0,32.0,2.0,52.0,26.0,0.0,5.2,46.0,372.0,8.1,3.0,
319.0,Nick Wilson,Arizona,Pac-12,5.0,55.0,320.0,5.8,3.0,64.0,2.0,11.0,5.5,0.0,2.2,57.0,331.0,5.8,3.0,
320.0,Jazz Peavy*,Wisconsin,Big Ten,14.0,21.0,318.0,15.1,1.0,22.7,43.0,635.0,14.8,5.0,45.4,64.0,953.0,14.9,6.0,
321.0,Squally Canada*,BYU,Ind,12.0,74.0,315.0,4.3,2.0,26.3,3.0,7.0,2.3,0.0,0.6,77.0,322.0,4.2,2.0,
322.0,Brian Lankford-Johnson,Purdue,Big Ten,12.0,48.0,314.0,6.5,2.0,26.2,11.0,90.0,8.2,0.0,7.5,59.0,404.0,6.8,2.0,
323.0,Kyler Neal,Georgia State,Sun Belt,9.0,75.0,314.0,4.2,2.0,34.9,3.0,28.0,9.3,0.0,3.1,78.0,342.0,4.4,2.0,
324.0,Dalton Sturm*,UTSA,CUSA,13.0,110.0,313.0,2.8,4.0,24.1,1.0,0.0,0.0,0.0,0.0,111.0,313.0,2.8,4.0,
