Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
380.0,Jarred Craft*,Louisiana Tech,CUSA,14.0,42.0,340.0,8.1,4.0,24.3,191.0,1074.0,5.6,9.0,76.7,233.0,1414.0,6.1,13.0,
381.0,Izaiah Lottie,New Mexico State,Sun Belt,11.0,26.0,339.0,13.0,2.0,30.8,0.0,0.0,,0.0,0.0,26.0,339.0,13.0,2.0,
382.0,Montay Crockett,Georgia Southern,Sun Belt,12.0,24.0,339.0,14.1,1.0,28.3,2.0,25.0,12.5,0.0,2.1,26.0,364.0,14.0,1.0,
383.0,Daniel Montiel*,Memphis,American,13.0,27.0,338.0,12.5,3.0,26.0,0.0,0.0,,0.0,0.0,27.0,338.0,12.5,3.0,
384.0,Domonique Young,Purdue,Big Ten,6.0,29.0,338.0,11.7,1.0,56.3,0.0,0.0,,0.0,0.0,29.0,338.0,11.7,1.0,
385.0,Eddie Sinegal,UTEP,CUSA,12.0,29.0,338.0,11.7,0.0,28.2,2.0,44.0,22.0,0.0,3.7,31.0,382.0,12.3,0.0,
386.0,OJ Clark,New Mexico State,Sun Belt,12.0,43.0,338.0,7.9,1.0,28.2,0.0,0.0,,0.0,0.0,43.0,338.0,7.9,1.0,
387.0,Edgar Poe*,Army,Ind,10.0,16.0,336.0,21.0,3.0,33.6,0.0,0.0,,0.0,0.0,16.0,336.0,21.0,3.0,
388.0,Justin Rankin,Kent State,MAC,11.0,28.0,335.0,12.0,1.0,30.5,108.0,511.0,4.7,3.0,46.5,136.0,846.0,6.2,4.0,
389.0,Christopher Herndon IV*,Miami (FL),ACC,13.0,28.0,334.0,11.9,2.0,25.7,0.0,0.0,,0.0,0.0,28.0,334.0,11.9,2.0,
390.0,Frederick Gammage,Arizona State,Pac-12,12.0,26.0,334.0,12.8,2.0,27.8,1.0,0.0,0.0,0.0,0.0,27.0,334.0,12.4,2.0,
391.0,John Mundt,Oregon,Pac-12,8.0,23.0,334.0,14.5,4.0,41.8,0.0,0.0,,0.0,0.0,23.0,334.0,14.5,4.0,
392.0,Mitchell Juergens*,BYU,Ind,13.0,34.0,333.0,9.8,2.0,25.6,0.0,0.0,,0.0,0.0,34.0,333.0,9.8,2.0,
393.0,Ricky Seals-Jones*,Texas A&M,SEC,11.0,26.0,333.0,12.8,1.0,30.3,0.0,0.0,,0.0,0.0,26.0,333.0,12.8,1.0,
394.0,Tyrone Williams*,South Alabama,Sun Belt,13.0,28.0,333.0,11.9,1.0,25.6,0.0,0.0,,0.0,0.0,28.0,333.0,11.9,1.0,
395.0,Jaelan Austin*,Texas Christian,Big 12,13.0,23.0,332.0,14.4,5.0,25.5,0.0,0.0,,0.0,0.0,23.0,332.0,14.4,5.0,
396.0,Patrick Smith*,Middle Tennessee State,CUSA,12.0,28.0,332.0,11.9,4.0,27.7,0.0,0.0,,0.0,0.0,28.0,332.0,11.9,4.0,
397.0,Andrew Scanlan*,Northwestern,Big Ten,13.0,29.0,331.0,11.4,0.0,25.5,0.0,0.0,,0.0,0.0,29.0,331.0,11.4,0.0,
