player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Jonathan Williams,RB,100.0,1994-02-02,Wake Forest,ACC,2016,5,2013.0,19.578,0.061,0.058,0.0,0.0,0.403,0.383,,,211.0,,,65.0,,16.0,34.3,410.0,,,,,,,,,1194.0,,,1.0,0.0,65.0,734.0,101.9,36.0,4.0,84.0,,,,,,68.0,11.0,,105.0,238.0,,,0.0,0.0,,,16.0,222.0,,,,,,,734.0,,3.48,5.7,0.65,0.0,4.56,30.68,139.90079999999998
Alex Collins,RB,109.0,1994-08-26,Arkansas,SEC,2016,5,2013.0,19.017,0.014,0.014,0.0,0.0,0.628,0.628,,,271.0,,,58.0,,21.0,38.9,615.0,,,,,,,,,1580.0,,,0.0,2.0,58.0,815.0,63.5,41.0,5.0,156.0,,,,,,64.0,13.0,,141.0,303.0,,,0.0,0.0,,,13.0,284.0,,,,,,,815.0,,3.01,5.8,0.45,69.0,4.59,31.133,142.90046999999998
Kelvin Taylor,RB,176.0,1993-09-28,Florida,SEC,2016,6,2013.0,19.926,0.026,0.026,0.0,0.0,0.631,0.631,,,258.0,,,48.0,,14.0,32.3,331.0,,,,,,,,,1025.0,,,1.0,11.0,48.0,649.0,53.8,23.0,0.0,95.0,,,,,,157.0,18.0,,232.0,282.0,,,0.0,0.0,,,23.0,276.0,,,,,,,649.0,,2.52,4.0,0.68,160.0,4.6,29.698,136.61079999999998
Darius Jackson,RB,299.0,1993-12-01,Eastern Michigan,MAC,2016,6,2015.0,21.749,0.094,0.066,0.0,0.0,0.628,0.44,,,208.0,,,28.0,,19.0,46.3,505.0,,,,,,,,,1090.0,,,2.0,12.0,28.0,501.0,42.1,34.0,2.0,84.0,,,,,,201.0,21.0,,293.0,275.0,,,0.0,0.0,,,30.0,229.0,,,,,,,501.0,,2.41,5.2,0.69,113.0,,,
Dwayne Washington,RB,136.0,1994-04-24,Washington,Pac-12,2016,7,2014.0,20.356,0.016,0.015,0.0,0.0,0.328,0.311,,,131.0,,,25.0,,7.0,43.0,299.0,,,,,,,,,696.0,,,4.0,0.0,25.0,291.0,38.0,12.0,4.0,40.0,,,,,,94.0,15.0,,143.0,156.0,,,0.0,0.0,,,23.0,146.0,,,,,,,291.0,,2.22,5.3,0.66,0.0,,,
Daniel Lasco,RB,286.0,1992-10-09,California,Pac-12,2016,7,2013.0,20.895,0.036,0.034,0.0,0.0,0.381,0.362,,,139.0,,,23.5,,8.0,24.9,183.0,,,,,,,,,723.5,,,3.0,5.0,23.5,383.0,47.15,21.0,2.0,53.0,,,,,,181.5,17.0,,185.0,174.5,,,0.0,0.0,,,21.5,156.0,,,,,,,383.0,,2.695,5.1,0.74,19.0,4.46,28.342,126.40532
Keith Marshall,RB,285.0,1994-02-16,Georgia,SEC,2016,7,2012.0,18.541,0.025,0.025,0.0,0.0,0.273,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,30.541,131.63171
Zac Brooks,RB,313.0,1993-02-01,Clemson,ACC,2016,7,,,0.022,0.021,0.0,0.0,0.093,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Fournette,RB,9.0,1995-01-18,LSU,SEC,2017,1,2014.0,19.619,0.064,0.064,0.0,0.0,0.458,0.458,,,214.5,,,53.0,,19.0,44.55,614.0,,,,,,,,,1380.5,,,3.5,7.0,53.0,729.0,79.2,40.0,3.0,78.5,,,,,,199.0,17.0,,127.5,247.5,,,24.0,0.5,,,25.5,231.0,,,,,,,731.0,,3.25,6.55,1.545,126.0,4.51,32.546,146.78246
Christian McCaffrey,RB,8.0,1996-06-07,Stanford,Pac-12,2017,1,2015.0,19.233,0.175,0.167,0.0,0.0,0.62,0.589,,,252.0,,,44.0,,16.0,37.9,602.0,,,,,,,,,1590.0,,,3.0,21.0,44.0,830.0,73.8,38.0,3.0,195.0,,,,,,318.0,38.0,,191.0,293.0,,,0.0,0.0,,,46.0,290.0,,,,,,,830.0,,3.29,6.3,1.66,54.0,4.48,28.17,126.2016
Dalvin Cook,RB,13.0,1995-08-10,Florida State,ACC,2017,2,2014.0,19.061,0.076,0.072,0.0,0.0,0.681,0.647,,,258.5,,,73.5,,30.0,54.05,931.0,,,,,,,,,1729.5,,,4.0,9.5,73.5,1061.5,117.75,52.0,4.5,100.5,,,,,,361.0,28.5,,254.0,321.0,,,0.0,0.0,,,37.0,287.0,,,,,,,1061.5,,4.095,6.75,1.385,151.5,4.49,30.129,135.27921
Joe Mixon,RB,16.0,1996-07-24,Oklahoma,Big 12,2017,2,2015.0,19.105,0.123,0.117,0.015,0.014,0.374,0.355,,,187.0,,,48.0,,22.0,56.2,723.0,,,,,,,,,1287.0,,,3.0,9.0,48.0,714.0,97.2,33.0,3.0,94.0,,,,,,538.0,37.0,,199.0,252.0,,,0.0,0.0,,,43.0,224.0,,,,,,,714.0,,3.82,6.9,2.7,84.0,,,
Alvin Kamara,RB,32.0,1995-07-25,Tennessee,SEC,2017,3,2015.0,20.104,0.135,0.135,0.0,0.0,0.257,0.257,,,103.0,,,26.0,,12.0,47.7,284.0,,,,,,,,,596.0,,,3.0,24.0,26.0,389.0,132.1,19.0,2.0,26.0,,,,,,390.0,40.0,,163.0,160.0,,,0.0,0.0,,,49.0,143.0,,,,,,,389.0,,3.78,5.8,2.39,73.0,4.56,30.702,140.00112
Kareem Hunt,RB,34.0,1995-08-06,Toledo,MAC,2017,3,2013.0,18.073,0.059,0.041,0.0,0.0,0.585,0.41,,,261.0,,,76.0,,19.0,29.3,431.0,,,,,,,,,1473.0,,,0.0,22.0,76.0,904.0,112.4,49.0,0.0,154.0,,,,,,403.0,41.0,,188.0,278.0,,,0.0,0.0,,,43.0,302.0,,,,,,,904.0,,3.46,5.6,2.14,102.0,4.62,30.989,143.16918
D'Onta Foreman,RB,55.0,1996-04-24,Texas,Big 12,2017,3,2015.0,19.354,0.012,0.012,0.0,0.0,0.63,0.598,,,323.0,,,64.0,,29.0,40.7,821.0,,,,,,,,,2016.0,,,1.0,1.0,64.0,1142.0,69.6,47.0,7.0,168.0,,,,,,75.0,7.0,,143.0,388.0,,,0.0,0.0,,,8.0,330.0,,,,,,,1142.0,,3.54,6.2,0.52,147.0,4.618,31.597,145.914946
James Conner,RB,41.0,1995-05-05,Pitt,ACC,2017,3,2013.0,18.327,0.069,0.066,0.0,0.0,0.526,0.5,,,256.0,,,64.5,,23.0,42.1,568.0,,,,,,,,,1426.5,,,1.0,3.0,64.5,747.0,70.85,41.5,2.0,91.5,,,,,,186.0,13.0,,104.0,345.0,,,0.0,0.0,,,15.5,269.0,,,,,,,747.0,,2.92,5.5,1.59,85.5,4.65,30.737,142.92705
Samaje Perine,RB,93.0,1995-09-16,Oklahoma,Big 12,2017,4,2014.0,18.96,0.022,0.021,0.0,0.0,0.443,0.421,,,229.0,,,52.5,,22.5,41.85,599.0,,,,,,,,,1388.0,,,0.0,3.5,52.5,792.5,77.9,38.5,2.0,82.5,,,,,,107.0,12.5,,123.5,278.0,,,0.0,0.0,,,13.0,241.5,,,,,,,792.5,,3.435,5.95,0.92,49.0,4.65,32.493,151.09245
Joe Williams,RB,224.0,1993-09-04,Utah,Pac-12,2017,4,2016.0,22.992,0.019,0.018,0.0,0.0,0.453,0.43,,,210.0,,,31.0,,22.0,48.2,670.0,,,,,,,,,1389.0,,,3.0,4.0,31.0,718.0,54.6,36.0,5.0,92.0,,,,,,107.0,9.0,,135.0,244.0,,,0.0,0.0,,,13.0,219.0,,,,,,,718.0,,3.42,6.6,0.79,116.0,4.41,29.286,129.15126
Donnel Pumphrey,RB,111.0,1994-12-06,San Diego State,MWC,2017,4,2013.0,18.738,0.046,0.035,0.0,0.0,0.628,0.478,,,312.5,,,63.5,,32.0,45.2,905.0,,,,,,,,,1995.5,,,3.0,5.0,63.5,1005.5,64.85,55.5,3.0,159.5,,,,,,198.0,25.0,,170.0,352.0,,,0.0,0.0,,,36.0,337.5,,,,,,,1005.5,,3.19,6.45,1.16,58.0,4.48,26.758,119.87584
Jamaal Williams,RB,212.0,1995-04-03,BYU,Ind,2017,4,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,28.749,131.95791
Wayne Gallman,RB,190.0,1994-10-01,Clemson,ACC,2017,4,2014.0,19.918,0.015,0.014,0.0,0.0,0.505,0.48,,,232.0,,,56.0,,12.0,28.0,317.0,,,,,,,,,1131.0,,,1.0,5.0,56.0,691.0,72.1,28.0,2.0,97.0,,,,,,143.0,20.0,,266.0,343.0,,,0.0,0.0,,,26.0,252.0,,,,,,,691.0,,2.98,4.9,0.54,128.0,4.6,29.156,134.11759999999998
Marlon Mack,RB,118.0,1996-03-07,South Florida,American,2017,4,2014.0,18.486,0.036,0.031,0.0,0.0,0.565,0.48,,,187.5,,,33.5,,14.0,48.1,540.5,,,,,,,,,1117.5,,,2.5,5.5,33.5,645.5,66.9,25.0,4.5,79.5,,,,,,193.5,24.5,,162.5,274.0,,,0.0,0.0,,,34.5,212.0,,,,,,,645.5,,3.47,6.0,1.185,41.5,4.5,29.704,133.668
Brian Hill,RB,219.0,1995-11-09,Wyoming,MWC,2017,5,2014.0,18.812,0.01,0.008,0.0,0.0,0.676,0.514,,,349.0,,,49.0,,30.0,42.8,797.0,,,,,,,,,1864.0,,,2.0,1.0,49.0,1014.0,40.7,43.0,0.0,286.0,,,,,,67.0,8.0,,193.0,433.0,,,0.0,0.0,,,12.0,357.0,,,,,,,1014.0,,2.91,5.3,0.35,58.0,4.54,28.89,131.16060000000002
Jeremy McNichols,RB,104.0,1995-12-26,Boise State,MWC,2017,5,2015.0,19.682,0.133,0.101,0.0,0.0,0.773,0.588,,,312.0,,,62.0,,20.0,38.5,653.0,,,,,,,,,1698.0,,,2.0,4.0,62.0,1104.0,66.5,33.0,4.0,142.0,,,,,,483.0,39.0,,257.0,345.0,,,0.0,0.0,,,44.0,351.0,,,,,,,1104.0,,3.54,5.4,1.88,160.0,4.49,31.599,141.87951
T.J. Logan,RB,229.0,1994-09-03,North Carolina,ACC,2017,5,2013.0,18.995,0.082,0.078,0.0,0.0,0.338,0.321,,,119.0,,,26.0,,12.0,41.1,259.0,,,,,,,,,630.0,,,1.0,8.0,26.0,349.0,66.9,22.0,2.0,49.0,,,,,,260.0,30.0,,160.0,160.0,,,0.0,0.0,,,35.0,149.0,,,,,,,349.0,,2.93,5.3,1.63,66.0,4.37,28.941,126.47217
Aaron Jones,RB,61.0,1994-12-02,UTEP,CUSA,2017,5,2013.0,18.749,0.124,0.087,0.024,0.017,0.823,0.576,,,228.0,,,41.0,,28.0,56.4,996.0,,,,,,,,,1766.0,,,3.0,6.0,41.0,907.0,73.0,44.0,3.0,100.0,,,,,,233.0,28.0,,175.0,276.0,,,0.0,0.0,,,35.0,256.0,,,,,,,907.0,,3.98,7.7,1.33,98.0,4.56,30.713,140.05128
Elijah McGuire,RB,132.0,1994-06-01,Louisiana,Sun Belt,2017,6,2013.0,19.253,0.154,0.117,0.0,0.0,0.462,0.351,,,221.5,,,35.5,,11.0,28.85,315.0,,,,,,,,,1097.0,,,1.5,7.5,35.5,582.5,44.85,26.5,0.0,61.0,,,,,,263.0,30.5,,181.0,308.5,,,0.0,0.0,,,38.0,252.0,,,,,,,582.5,,2.605,5.0,1.46,153.5,4.53,30.702,139.08006
De'Angelo Henderson,RB,283.0,1992-11-24,Alabama,SEC,2017,6,,,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devante Mays,RB,253.0,1994-05-26,Utah State,MWC,2017,7,2015.0,21.268,0.002,0.001,0.0,0.0,0.43,0.327,,,165.0,,,24.0,,12.0,40.9,401.0,,,,,,,,,981.0,,,0.0,0.0,24.0,470.0,41.2,26.0,0.0,50.0,,,,,,9.0,1.0,,67.0,198.0,,,0.0,0.0,,,2.0,166.0,,,,,,,470.0,,2.85,5.9,0.13,102.0,,,
Khalfani Muhammad,RB,274.0,1994-09-26,California,Pac-12,2017,7,2013.0,18.932,0.031,0.029,0.0,0.0,0.319,0.303,,,152.0,,,22.0,,10.0,31.4,260.0,,,,,,,,,827.0,,,2.0,5.0,22.0,446.0,,28.0,0.0,53.0,,,,,,132.0,17.0,,154.0,163.0,,,0.0,0.0,,,20.0,169.0,,,,,,,446.0,,2.93,5.4,0.86,90.0,,,
Elijah Hood,RB,124.0,1996-04-22,North Carolina,ACC,2017,7,2015.0,19.359,0.014,0.013,0.0,0.0,0.431,0.409,,,182.0,,,48.0,,22.0,48.65,557.0,,,,,,,,,1162.5,,,0.5,5.5,48.0,720.5,97.8,36.5,3.0,68.0,,,,,,107.0,19.0,,165.5,259.5,,,0.0,0.0,,,20.5,201.0,,,,,,,720.5,,3.925,6.3,0.695,108.0,4.614,31.461,145.16105399999998
Chris Carson,RB,195.0,1994-09-16,Oklahoma State,Big 12,2017,7,2015.0,20.958,0.032,0.031,0.003,0.003,0.266,0.253,,,83.0,,,31.0,,14.0,46.2,256.0,,,,,,,,,554.0,,,2.0,4.0,31.0,332.0,145.8,22.0,1.0,10.0,,,,,,128.0,13.0,,129.0,93.0,,,0.0,0.0,,,17.0,96.0,,,,,,,332.0,,4.0,6.7,0.99,66.0,4.58,29.563,135.39854
Saquon Barkley,RB,5.0,1997-02-09,Penn State,Big Ten,2018,1,2015.0,18.557,0.127,0.127,0.01,0.01,0.554,0.554,,,245.0,,,55.5,,23.0,55.55,766.5,,,,,,,,,1381.5,,,2.5,11.0,55.5,832.5,63.3,37.5,1.0,79.0,,,,,,513.5,41.0,,278.5,333.0,,,0.0,0.0,,,51.0,286.0,,,,,,,832.5,,3.41,5.65,1.825,158.5,4.4,31.597,139.0268
