player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Adam Shaheen,TE,42.0,1994-10-24,Utah,MWC,2017,2,,,0.022,0.017,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,32.123,153.86917
Jonnu Smith,TE,30.0,1995-08-22,Florida International,CUSA,2017,3,2013.0,18.029,0.321,0.224,0.0,0.0,0.001,0.0,,,,6.3,,13.5,,,,,,67.2,,,,0.0,0.0,,,12.6,,7.0,,,,51.2,,0.5,,,2.5,,,,,51.5,88.05,357.0,,,,,,47.7,191.0,76.0,,,,1.25,5.0,391.0,7.5,,11.65,,,1.67,,4.62,30.994,143.19228
Michael Roberts,TE,180.0,1994-05-07,Army,Ind,2017,4,2016.0,22.322,0.237,0.142,0.0,0.0,0.0,0.0,,,,11.3,,4.0,,,,,,70.3,,,,0.0,0.0,,,6.3,,3.0,,,,,,0.0,,,2.0,,,,,45.0,80.6,362.0,,,,,,44.1,198.0,64.0,,,,3.8,17.0,161.0,3.6,,11.8,,,1.47,,4.86,32.862,159.70932000000002
Jake Butt,TE,56.0,1995-07-11,Michigan,Big Ten,2017,5,,,0.199,0.199,0.0,0.0,0.0,0.0,,,,7.2,,6.0,,,,,,69.7,,,,0.0,0.0,,,9.8,,5.0,,,,,,1.0,,,2.0,,,,,46.0,86.2,275.0,,,,,,16.0,51.0,66.0,,,,4.4,14.0,294.0,6.4,,11.9,,,1.99,,4.724,29.168,137.789632
George Kittle,TE,14.0,1993-10-09,Iowa,Big Ten,2017,5,2015.0,21.895,0.212,0.212,0.0,0.0,0.0,0.0,,,,7.35,,4.0,,,,,,70.55,,,0.0,0.0,1.0,,,8.4,,2.0,,,,,,0.5,,,1.0,,,,,21.0,78.3,155.0,,,,,,26.65,61.0,30.5,,,,3.65,5.0,148.5,7.1,,14.25,,,2.27,,4.52,30.062,135.88024
Jordan Leggett,TE,89.0,1995-01-31,Clemson,ACC,2017,5,,,0.163,0.155,0.0,0.0,0.0,0.0,,,,10.65,,2.5,,,,,,68.25,,,,0.0,0.0,,,7.6,,3.5,,,,,,0.5,,,3.0,,,,,43.0,83.15,440.0,,,,,,62.6,330.5,63.0,,,,3.8,20.5,256.5,5.85,,14.6,,,1.425,,4.774,30.591,146.041434
Jeremy Sprinkle,TE,120.0,1994-08-10,Arkansas,SEC,2017,5,,,0.153,0.153,0.0,0.0,0.001,0.001,,,,7.3,,3.0,,,,,,62.8,,,,0.0,0.0,,,6.9,,2.0,,,,32.1,,1.0,,,1.0,,,,,27.0,81.3,213.0,,,,,,23.3,61.0,43.0,,,,4.2,11.0,262.0,9.7,,14.4,,,1.83,,4.69,29.88,140.1372
Eric Saubert,TE,97.0,1994-05-01,ATL,,2017,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.753,29.998,142.58049400000002
Bucky Hodges,TE,68.0,1995-08-08,Virginia Tech,ACC,2017,6,2014.0,19.066,0.242,0.23,0.0,0.0,0.007,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,29.696,135.71072
Mason Schreck,TE,165.0,1993-11-04,Buffalo,MAC,2017,7,2016.0,22.825,0.317,0.222,0.0,0.0,0.0,0.0,,,,8.5,,4.0,,,,,,64.8,,,,0.0,0.0,,,7.8,,5.0,,,,,,0.0,,,3.0,,,,,59.0,85.3,371.0,,,,,,62.8,273.0,91.0,,,,1.4,6.0,269.0,4.6,,11.0,,,1.75,,,,
