Player,Bias,DOM+,Draft Capital,YAC/R,FUM,REC%,aDOT,Breakout Age,Drop%,CC%,Y/RR,Y/REC,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_WR,Train_Target_raw,Error_Target
Dezmon Patmon,-207.4151,-94.7935,-122.2914,-0.7692,-0.3607,15.7746,0.5399,3.5316,-0.1314,34.0796,5.1935,-4.5989,0.3051,-2.9844,-163.5208,-2.9844,-373.9203,-392.0000,18.0797
Devin Lucien,-207.4151,4.2469,-173.7213,1.2167,-2.5030,5.4865,-2.9597,-81.1514,1.7439,-3.7112,18.8503,3.3568,1.3235,-14.2822,-227.8220,-14.2822,-449.5193,-385.0000,-64.5193
Tony Lippett,-207.4151,15.0637,-44.3072,-1.9389,0.1298,-16.5323,-4.0803,-55.8425,-10.7272,-3.5075,27.8149,1.8062,0.0090,13.3750,-92.1123,13.3750,-286.1523,-280.0000,-6.1523
Calvin Austin III,-207.4151,19.5893,-8.9298,1.6237,1.0719,-0.5923,-1.1439,1.6824,3.0618,6.7220,13.3091,1.0603,3.0968,-3.6396,40.5513,-3.6396,-170.5034,-288.0000,117.4966
Amari Cooper,-207.4151,20.9696,128.8140,1.5540,2.1076,10.1838,-0.4272,49.8828,2.4029,-4.5595,9.2281,-3.3986,-14.2403,12.0444,202.5172,12.0444,7.1465,-5.0000,12.1465
Kolby Listenbee,-207.4151,-91.9346,-104.5716,-22.6795,-0.2830,-5.6286,12.7018,4.5610,-1.6068,-3.3666,8.2325,6.3508,-0.9808,27.0879,-199.2054,27.0879,-379.5326,-481.0000,101.4674
Hakeem Butler,-207.4151,18.6347,-7.4552,2.3104,0.1043,2.1481,0.1577,2.0568,32.3997,0.7827,21.9165,-1.6802,2.0093,-4.7474,73.3848,-4.7474,-138.7777,-115.0000,-23.7777
Erik Ezukanma,-207.4151,17.8661,-7.6599,1.9584,1.3780,-0.2875,0.5242,10.9325,2.8695,1.6706,1.3812,1.6733,2.0721,7.0517,34.3785,7.0517,-165.9850,-219.0000,53.0150
Johnny Wilson,-207.4151,-16.1024,-111.9026,1.8452,1.4350,1.2370,-1.0871,-3.1713,1.9063,-0.9953,29.1999,4.5696,1.4023,-11.1916,-91.6634,-11.1916,-310.2700,-176.0000,-134.2700
Derius Davis,-207.4151,-111.7533,-25.5596,5.3487,0.1797,-1.9078,2.8116,6.4647,0.3330,-6.6100,-4.2699,-2.2601,2.8643,14.0765,-134.3587,14.0765,-327.6972,-329.0000,1.3028
Malachi Corley,-207.4151,-39.6601,53.8871,3.0943,-2.9679,8.1839,0.3813,2.9259,5.3084,-11.4092,6.8089,-2.1829,3.5494,-9.5231,27.9191,-9.5231,-189.0191,-147.0000,-42.0191
Noah Brown,-207.4151,-15.3934,-176.8162,-26.0831,1.6103,-6.7743,1.6604,12.7284,-1.6365,-1.8970,-71.2692,1.2208,0.8712,-15.3678,-281.7786,-15.3678,-504.5615,-478.0000,-26.5615
Sammie Coates,-207.4151,15.9595,58.8536,1.8246,1.2236,-6.1565,11.1561,4.7991,-1.0050,-2.8566,15.6214,-3.3245,1.8597,0.3507,97.9550,0.3507,-109.1095,-113.0000,3.8905
CeeDee Lamb,-207.4151,8.9523,128.4394,10.3537,-5.7084,9.3709,-3.1780,8.3402,-1.2809,-0.8359,8.0416,1.2934,-12.4799,4.3775,151.3084,4.3775,-51.7292,-6.0000,-45.7292
Donovan Peoples-Jones,-207.4151,22.6121,-120.0729,1.0224,1.6711,-8.4823,-1.9929,24.7251,0.1965,-0.4773,-14.7712,0.3607,1.4967,6.2406,-93.7120,6.2406,-294.8865,-237.0000,-57.8865
Chimere Dike,-207.4151,34.0143,-14.1290,1.1853,1.7835,0.1391,-1.5865,22.8300,2.3371,-2.9528,3.4588,-0.1973,-0.8578,7.3674,46.0247,7.3674,-154.0230,-161.0000,6.9770
Braxton Berrios,-207.4151,10.8752,-135.0800,-3.9101,1.2718,-10.6413,2.5870,-30.9675,2.8647,-7.1716,-78.4197,4.9864,0.6348,-18.5868,-242.9703,-18.5868,-468.9722,-527.0000,58.0278
Justin Hardy,-207.4151,20.3657,-7.7351,-0.1222,-2.7088,6.9447,0.6556,14.3611,-11.9872,-1.5756,1.7649,0.2337,0.6880,5.5203,20.8848,5.5203,-181.0100,-335.0000,153.9900
Anthony Gould,-207.4151,-88.1324,-62.3618,-0.6023,0.5081,-7.8928,-3.5376,5.9073,-2.2635,3.8319,9.9039,9.4881,-5.1485,17.0848,-140.2996,17.0848,-330.6299,-409.0000,78.3701
Daniel Braverman,-207.4151,18.4521,-165.3294,2.4141,-3.5897,10.0441,2.0686,-9.3557,1.9904,-4.2269,16.1140,1.9394,-18.6655,-13.0664,-148.1445,-13.0664,-368.6261,-315.0000,-53.6261
Taywan Taylor,-207.4151,12.2640,59.2072,1.6271,-2.8443,5.0621,-4.1265,6.3716,-0.7589,-2.7571,11.7043,-1.1392,2.9028,-33.1709,87.5131,-33.1709,-153.0729,-126.0000,-27.0729
Mike Thomas,-207.4151,-87.2948,-113.8105,0.6087,-0.4194,-8.3579,-1.5944,69.2789,3.0050,-3.0500,0.9491,-8.9702,1.6128,-41.1859,-148.0427,-41.1859,-396.6438,-334.0000,-62.6438
George Pickens,-207.4151,10.1324,88.3345,-13.7747,1.8775,-4.9295,-1.9963,14.9322,-7.4534,3.4566,2.9604,-1.7295,-0.9839,4.7117,90.8263,4.7117,-111.8771,-30.0000,-81.8771
Michael Pittman Jr.,-207.4151,9.6794,121.4057,-6.1066,-4.2244,12.0697,4.5799,-39.6479,-15.4763,4.0906,0.9011,1.8501,1.5584,-4.8071,90.6797,-4.8071,-121.5423,-62.0000,-59.5423
Keke Coutee,-207.4151,19.1472,-17.8521,2.6946,1.0578,10.6973,0.8389,7.5151,4.3646,-11.3981,10.6888,2.3040,0.8185,9.5845,30.8766,9.5845,-166.9539,-151.0000,-15.9539
Jack Bech,-207.4151,5.6213,109.5505,-0.8474,2.2488,8.3512,-6.2962,-28.1128,-13.2760,2.0688,4.8511,0.0718,-0.7671,-22.8607,83.4640,-22.8607,-146.8116,-183.0000,36.1884
Quintez Cephus,-207.4151,30.9783,-50.3381,-0.0945,0.7871,-3.1562,-1.7157,15.5024,4.5059,-4.6828,17.1520,2.4741,1.2840,-1.2644,12.6965,-1.2644,-195.9831,-326.0000,130.0169
Justin Shorter,-207.4151,-88.3479,-70.7869,-11.0153,-0.2756,-5.5278,0.9352,5.3521,7.5948,-1.7372,11.3651,1.9638,0.3729,-48.9591,-150.1068,-48.9591,-406.4809,-243.0000,-163.4809
KJ Hamler,-207.4151,8.1752,93.4522,2.3091,1.6488,-17.9950,0.0480,8.5695,30.9905,1.1200,4.4314,6.4576,-0.5289,6.2307,138.6784,6.2307,-62.5060,-112.0000,49.4940
JuJu Smith-Schuster,-207.4151,13.0079,101.6334,1.1755,1.5000,5.9307,1.0273,10.2456,4.1329,-3.4044,6.6201,-0.1020,1.6879,-22.2590,143.4549,-22.2590,-86.2193,-35.0000,-51.2193
Miles Boykin,-207.4151,51.7316,40.8216,-15.3631,-0.3709,-10.9896,-2.2027,8.5407,15.5753,-3.7655,-21.8239,-5.5906,-6.4711,6.1435,50.0918,6.1435,-151.1799,-199.0000,47.8201
Rashard Higgins,-207.4151,17.3791,-54.7588,1.5262,0.7571,9.1638,0.7760,13.7943,3.7654,-2.7457,15.7255,3.5440,1.8595,-9.7277,10.7864,-9.7277,-206.3563,-128.0000,-78.3563
Ja'Marr Chase,-207.4151,10.3584,129.3383,1.7777,-6.2708,8.2524,-1.2555,12.3950,3.4736,-3.8070,12.1137,4.2345,-11.7955,4.7634,158.8148,4.7634,-43.8368,-2.0000,-41.8368
Stefon Diggs,-207.4151,18.5242,-51.7629,4.0162,1.0776,-4.9174,0.6467,8.1702,2.5677,-4.0873,4.7185,-0.4338,2.9196,13.6523,-18.5607,13.6523,-212.3235,-120.0000,-92.3235
Joe Reed,-207.4151,23.7782,-52.5020,1.3778,-3.4460,20.8995,0.0370,19.6773,-17.0681,4.7643,-43.0234,-2.6569,1.9267,1.3104,-46.2356,1.3104,-252.3402,-295.0000,42.6598
Velus Jones Jr.,-207.4151,2.2558,54.6850,3.6636,1.4534,11.8324,2.4118,6.0064,0.2741,-1.8811,7.7940,-0.7874,2.8949,-3.9449,90.6029,-3.9449,-120.7570,-298.0000,177.2430
Jalen Camp,-207.4151,20.0800,-148.3319,-3.6611,1.6993,-32.3573,-1.1385,-87.1832,-1.6863,1.5983,-77.1401,-0.0382,0.0058,0.3417,-328.1532,0.3417,-535.2266,-432.0000,-103.2266
Kayshon Boutte,-207.4151,7.8874,-102.4418,2.1559,1.4141,6.2474,-1.1058,75.5794,3.7617,1.6251,2.1854,-8.7749,2.1008,1.1127,-9.3653,1.1127,-215.6679,-140.0000,-75.6679
Antoine Green,-207.4151,-44.1206,-143.8397,2.0812,0.6796,-4.2967,5.7611,1.9304,3.0099,0.5998,-29.4018,12.2935,0.2812,13.9278,-195.0221,13.9278,-388.5095,-332.0000,-56.5095
