Player,Bias,DOM+,YPC,YCO/A,Breakout Age,RDOM+,ELU,YPR,MTF/A,Draft Capital,Break%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Grade,Actual_RB_Grade,Error
Ito Smith,7.7477,-0.0802,0.1275,-0.0847,-0.0232,0.4238,0.2972,-0.0386,0.3947,-0.1871,-0.0510,0.1541,0.7784,0.1541,8.6802,7.5300,1.1502
Trestan Ebner,7.7477,-0.4761,-0.1981,-0.0568,-0.6919,0.5445,0.2901,0.0373,0.4794,-1.6514,-0.0120,0.2314,-1.7350,0.2314,6.2441,5.2100,1.0341
Daijun Edwards,7.7477,-0.1582,-0.0637,-0.1906,-0.6079,-0.0384,-0.3159,0.1169,0.0583,-1.4325,-0.0588,0.0178,-2.6908,0.0178,5.0746,4.2300,0.8446
Damien Martinez,7.7477,-0.7445,0.2259,0.0706,0.3299,-0.2751,0.4407,-0.0048,0.5320,-1.8048,0.1006,0.2079,-1.1295,0.2079,6.8261,7.0300,-0.2039
RJ Harvey,7.7477,0.4925,0.1645,0.0199,-0.5705,0.4174,0.3274,0.0509,0.1841,2.4749,-0.0440,-0.0460,3.5171,-0.0460,11.2186,10.0700,1.1486
Eno Benjamin,7.7477,0.4110,-0.1598,-0.1176,0.2761,0.3276,0.1387,-0.0616,0.3344,-1.9429,-0.0099,-0.2274,-0.8040,-0.2274,6.7163,6.6100,0.1063
Isaac Guerendo,7.7477,-0.4564,-0.0490,0.2047,-0.3168,0.0469,0.3058,-0.0526,0.1819,-0.1294,-0.0958,0.1147,-0.3607,0.1147,7.5016,7.2000,0.3016
Jahmyr Gibbs,7.7477,-0.1746,-0.0670,0.1363,0.5700,0.5688,0.5428,0.0500,0.2223,3.4226,-0.0307,0.1840,5.2405,0.1840,13.1721,13.9800,-0.8079
Roschon Johnson,7.7477,-0.7912,-0.0414,0.0996,-0.0840,-0.3317,0.5787,-0.0383,0.5417,-0.2734,-0.0124,0.0196,-0.3524,0.0196,7.4148,8.0300,-0.6152
Samaje Perine,7.7477,-0.1999,-0.0307,-0.1364,0.2871,-0.3904,0.2982,-0.0852,0.3523,-0.2448,-0.0203,-0.3871,-0.1701,-0.3871,7.1904,8.2700,-1.0796
