player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,Comp%1,ADJ%1,BTT%1,TWP%1,DAA1,YPA1,EPA/P1,aYPTPA1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,Comp%2,ADJ%2,BTT%2,TWP%2,DAA2,YPA2,EPA/P2,aYPTPA2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,Comp%3,ADJ%3,BTT%3,TWP%3,DAA3,YPA3,EPA/P3,aYPTPA3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,Comp%4,ADJ%4,BTT%4,TWP%4,DAA4,YPA4,EPA/P4,aYPTPA4,birthday_parsed,birthdate_source_url
Blake Bortles,QB,1.0,1992-04-28,20.34,2011.0,19.34,0.046,0.032,0.44,0.308,0.0,0.0,,,,,,,,,,,,2012.0,20.34,-0.0,-0.0,0.931,0.652,0.0,0.0,,,,,,,,,,,,2012.0,20.34,0.188,0.132,0.931,0.652,0.0,0.0,,,,,,,,,,,,2013.0,21.34,0.153,0.13,0.97,0.824,0.0,0.0,,,,,,,,,,,1992-04-28,https://www.pro-football-reference.com/players/B/BortBl00.htm
Bo Nix,QB,1.0,2000-02-25,19.52,2019.0,19.52,0.233,0.233,0.871,0.871,0.0,0.0,,,,,,,,,,,,2020.0,20.52,0.372,0.372,0.998,0.998,0.0,0.0,,,,,,,,,,,,2021.0,21.52,0.145,0.145,0.691,0.691,0.0,0.0,,,,,,,,,,,,2022.0,22.52,0.022,0.02,0.969,0.92,0.0,0.0,,,,,,,,,,,2000-02-25,https://www.pro-football-reference.com/players/N/NixxBo00.htm
Brad Kaaya,QB,6.0,1995-09-03,19.0,2014.0,19.0,-0.001,-0.001,0.992,0.943,0.0,0.0,,,,,,,,,,,,2015.0,19.99,0.039,0.037,0.894,0.85,0.0,0.0,,,,,,,,,,,,2016.0,21.0,-0.001,-0.001,0.996,0.946,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-09-03,https://en.wikipedia.org/wiki/Brad_Kaaya
Brad Smith,QB,4.0,1983-12-12,18.72,2002.0,18.72,0.007,0.007,0.92,0.874,0.0,0.0,,,,,,,,,,,,2002.0,18.72,0.417,0.396,0.92,0.874,0.0,0.0,,,,,,,,,,,,2003.0,19.72,0.969,0.92,0.851,0.808,0.0,0.0,,,,,,,,,,,,2003.0,19.72,0.048,0.046,0.851,0.808,0.0,0.0,,,,,,,,,,,1983-12-12,https://www.pro-football-reference.com/players/S/SmitBr01.htm
Brad Sorensen,QB,7.0,1988-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-03-13,https://en.wikipedia.org/wiki/Brad_Sorensen
Bradlee Van Pelt,QB,7.0,1980-07-03,21.16,2001.0,21.16,0.062,0.047,0.733,0.557,0.0,0.0,,,,,,,,,,,,2001.0,21.16,0.343,0.261,0.733,0.557,0.0,0.0,,,,,,,,,,,,2002.0,22.16,0.527,0.4,0.738,0.561,0.0,0.0,,,,,,,,,,,,2003.0,23.16,0.368,0.28,0.873,0.663,0.0,0.0,,,,,,,,,,,1980-07-03,https://en.wikipedia.org/wiki/Bradlee_Van_Pelt
Brady Quinn,QB,1.0,1984-10-27,,2003.0,18.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2004.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2005.0,20.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2006.0,21.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1984-10-27,https://www.pro-football-reference.com/players/Q/QuinBr00.htm
Brandon Allen,QB,6.0,1992-09-05,,2004.0,11.99,0.084,0.064,0.0,0.0,0.0,0.0,,,,,,,,,,,,2005.0,12.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2006.0,13.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2007.0,14.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1992-09-05,https://www.pro-football-reference.com/players/A/AlleBr00.htm
Brandon Doman,QB,5.0,1976-12-29,24.67,2000.0,23.67,0.156,0.119,0.21,0.159,0.0,0.0,,,,,,,,,,,,2001.0,24.67,0.002,0.002,0.842,0.64,0.0,0.0,,,,,,,,,,,,2001.0,24.67,0.162,0.123,0.842,0.64,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976-12-29,https://en.wikipedia.org/wiki/Brandon_Doman
Brandon Doughty,QB,7.0,1991-10-06,21.91,2011.0,19.9,-0.0,-0.0,0.026,0.02,0.0,0.0,,,,,,,,,,,,2012.0,20.91,0.0,0.0,0.001,0.001,0.0,0.0,,,,,,,,,,,,2013.0,21.91,-0.017,-0.013,0.922,0.701,0.0,0.0,,,,,,,,,,,,2014.0,22.9,0.015,0.011,0.996,0.697,0.0,0.0,,,,,,,,,,,1991-10-06,https://en.wikipedia.org/wiki/Brandon_Doughty
