player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
Donavyn Lester*,Nevada-Las Vegas,2023,MWC,18.0,0.0,455.0,9.0,0.0,0.0,0.27,0.21,20.9,15.88,0.0,0.0,
Donerio Davenport*,Texas State,2023,SUN BELT,102.0,2.0,458.0,2.0,0.0,0.0,5.61,4.26,12.47,9.48,0.0,0.0,129.0
Donnie Gray*,Northwestern,2023,BIG TEN,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,
Donovan Brown*,Syracuse,2023,ACC,321.0,1.0,-3.0,0.0,9.0,0.0,10.16,9.65,-0.07,-0.07,0.2,0.19,26.7
Donovan Edwards*,Michigan,2023,BIG TEN,249.0,0.0,497.0,5.0,34.0,0.0,3.88,3.88,16.05,16.05,0.53,0.53,30.5
Donovan Faupel*,New Mexico State,2023,CUSA,98.0,0.0,0.0,0.0,0.0,0.0,1.53,1.07,0.0,0.0,0.0,0.0,
Donovan Ollie,Cincinnati,2023,BIG 12,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,0.0,0.0,0.0,0.0,
Donovan Smith,Houston,2023,BIG 12,28.0,1.0,428.0,6.0,2801.0,22.0,2.57,2.44,45.03,42.78,94.16,89.45,37.2
Dont'e Thornton*,Tennessee,2023,SEC,224.0,1.0,0.0,0.0,0.0,0.0,5.81,5.81,0.0,0.0,0.0,0.0,
Dontae Fleming*,Tulane,2023,AMERICAN,94.0,0.0,0.0,0.0,0.0,0.0,1.56,1.33,0.0,0.0,0.0,0.0,
Dontae McMillan*,Eastern Michigan,2023,MAC,12.0,0.0,32.0,1.0,0.0,0.0,0.3,0.21,3.89,2.72,0.0,0.0,
Dontae Smith*,Georgia Tech,2023,ACC,92.0,1.0,504.0,4.0,0.0,0.0,3.45,3.28,17.85,16.96,0.0,0.0,
Donte Hawthorne,Virginia,2023,ACC,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.57,0.54,0.0,0.0,87.5
Dorian Lewis,New Mexico,2023,MWC,10.0,0.0,123.0,0.0,0.0,0.0,0.19,0.14,2.66,2.02,0.0,0.0,62.5
Dorian Singer*,USC,2023,PAC 12,289.0,3.0,0.0,0.0,0.0,0.0,7.39,7.02,0.0,0.0,0.0,0.0,
Dorian Smith*,South Alabama,2023,SUN BELT,3.0,0.0,32.0,1.0,0.0,0.0,0.04,0.03,2.5,1.9,0.0,0.0,
Doug Brumfield*,Nevada-Las Vegas,2023,MWC,0.0,0.0,34.0,1.0,252.0,0.0,0.0,0.0,1.98,1.5,3.76,2.86,
Douglas Emilien*,Kansas,2023,BIG 12,61.0,0.0,0.0,0.0,0.0,0.0,0.98,0.93,0.0,0.0,0.0,0.0,
Drae McCray*,Texas Tech,2023,BIG 12,255.0,2.0,4.0,0.0,0.0,0.0,8.55,8.12,0.09,0.09,0.0,0.0,16.7
Drake Anderson,Akron,2023,MAC,93.0,1.0,132.0,1.0,0.0,0.0,6.96,4.87,10.96,7.67,0.0,0.0,38.6
Drake Dabney,Baylor,2023,BIG 12,552.0,5.0,0.0,0.0,0.0,0.0,25.41,24.14,0.0,0.0,0.0,0.0,
Drake Maye*,North Carolina,2023,ACC,0.0,0.0,449.0,9.0,3608.0,24.0,0.0,0.0,25.06,23.81,92.54,87.91,
Drake Stoops*,Oklahoma,2023,BIG 12,962.0,10.0,8.0,0.0,0.0,0.0,26.1,24.8,0.17,0.16,0.0,0.0,29.0
Drayden Dickman*,Rice,2023,AMERICAN,-1.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02,0.0,0.0,0.0,0.0,
Dre'lyn Washington*,Louisiana,2023,SUN BELT,25.0,1.0,515.0,2.0,0.0,0.0,2.62,1.99,15.27,11.61,0.0,0.0,
Drew Allar*,Penn State,2023,BIG TEN,14.0,0.0,206.0,4.0,2631.0,25.0,0.25,0.25,11.98,11.98,88.73,88.73,11.4
Drew Biber,Purdue,2023,BIG TEN,16.0,1.0,0.0,0.0,0.0,0.0,3.65,3.65,0.0,0.0,0.0,0.0,
Drew Donley*,Texas State,2023,SUN BELT,169.0,1.0,0.0,0.0,0.0,0.0,4.48,3.4,0.0,0.0,0.0,0.0,
Drew Pyne,Arizona State,2023,PAC 12,17.0,0.0,-49.0,0.0,273.0,2.0,0.34,0.32,-1.82,-1.73,17.91,17.01,0.0
Duane Martin*,Louisville,2023,ACC,27.0,0.0,0.0,0.0,0.0,0.0,0.41,0.39,0.0,0.0,0.0,0.0,
Duane Thomas Jr.,Charlotte,2023,AMERICAN,244.0,0.0,11.0,0.0,0.0,0.0,6.06,5.15,0.32,0.27,0.0,0.0,41.4
Duce Robinson*,USC,2023,PAC 12,351.0,2.0,0.0,0.0,0.0,0.0,6.76,6.42,0.0,0.0,0.0,0.0,
Duke Olges*,Northwestern,2023,BIG TEN,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,
Durell Robinson,Charlotte,2023,AMERICAN,14.0,0.0,166.0,1.0,0.0,0.0,0.35,0.3,7.9,6.72,0.0,0.0,31.1
Dylan Braithwaite*,Rutgers,2023,BIG TEN,10.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,
Dylan Carson*,Air Force,2023,MWC,0.0,0.0,493.0,2.0,0.0,0.0,0.0,0.0,9.51,7.23,0.0,0.0,64.0
Dylan Downing,Purdue,2023,BIG TEN,44.0,0.0,211.0,1.0,0.0,0.0,0.87,0.87,7.7,7.7,0.0,0.0,46.8
Dylan Edwards,Colorado,2023,PAC 12,299.0,4.0,321.0,1.0,0.0,0.0,11.12,10.56,23.57,22.39,0.0,0.0,57.4
Dylan Goffney,Colorado State,2023,MWC,298.0,2.0,0.0,0.0,0.0,0.0,8.22,6.25,0.0,0.0,0.0,0.0,
Dylan Hopkins,New Mexico,2023,MWC,0.0,0.0,124.0,1.0,2074.0,11.0,0.0,0.0,4.6,3.5,72.01,54.73,30.8
Dylan Leonard*,Georgia Tech,2023,ACC,156.0,1.0,0.0,0.0,0.0,0.0,4.57,4.34,0.0,0.0,0.0,0.0,
Dylan Lonergan*,Alabama,2023,SEC,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.1,0.1,0.19,0.19,0.0
Dylan McDuffie*,Kansas,2023,BIG 12,0.0,0.0,253.0,4.0,0.0,0.0,0.0,0.0,10.97,10.42,0.0,0.0,88.3
Dylan Morris*,Washington,2023,PAC 12,0.0,0.0,-5.0,0.0,224.0,1.0,0.0,0.0,-0.14,-0.13,3.49,3.32,0.0
Dylan Paine,Washington State,2023,PAC 12,5.0,0.0,150.0,1.0,0.0,0.0,0.06,0.06,10.31,9.79,0.0,0.0,
Dylan Rizk*,UCF,2023,BIG 12,0.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.03,0.03,0.42,0.4,
Dylan Sampson*,Tennessee,2023,SEC,175.0,1.0,604.0,7.0,0.0,0.0,5.04,5.04,26.56,26.56,0.0,0.0,96.8
Dylan Wade*,Maryland,2023,BIG TEN,21.0,2.0,0.0,0.0,0.0,0.0,3.99,3.99,0.0,0.0,0.0,0.0,
Dylan Wright,Texas Christian,2023,BIG 12,187.0,2.0,0.0,0.0,0.0,0.0,6.2,5.89,0.0,0.0,0.0,0.0,
E.J. Smith,Stanford,2023,PAC 12,242.0,0.0,218.0,1.0,0.0,0.0,4.33,4.11,10.99,10.44,0.0,0.0,
E.J. Warner,Temple,2023,AMERICAN,0.0,0.0,7.0,0.0,3076.0,23.0,0.0,0.0,0.3,0.26,96.33,81.88,0.0
E.J. Williams,Indiana,2023,BIG TEN,281.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,
EJ Horton*,West Virginia,2023,BIG 12,201.0,1.0,8.0,0.0,0.0,0.0,6.54,6.21,0.13,0.12,0.0,0.0,
EJ Smoot*,Liberty,2023,CUSA,221.0,2.0,0.0,0.0,0.0,0.0,6.96,4.87,0.0,0.0,0.0,0.0,
Earl Woods III*,Jacksonville State,2023,CUSA,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.39,0.27,0.0,0.0,
Earnest Crownover*,Texas A&M,2023,SEC,21.0,2.0,12.0,0.0,0.0,0.0,4.46,4.46,0.34,0.34,0.0,0.0,0.0
Easton Dean*,Iowa State,2023,BIG 12,171.0,3.0,0.0,0.0,0.0,0.0,9.21,8.75,0.0,0.0,0.0,0.0,
Easton Messer*,Western Kentucky,2023,CUSA,484.0,4.0,16.0,0.0,0.0,0.0,11.54,8.08,0.58,0.41,0.0,0.0,
Eddie Battle,Florida,2023,SEC,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.0,33.3
Eddie Lee Marburger*,UTSA,2023,AMERICAN,0.0,0.0,-23.0,0.0,300.0,3.0,0.0,0.0,-0.52,-0.44,10.62,9.03,
Eddie Lewis,South Carolina,2023,SEC,120.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,
Edward Saydee,Temple,2023,AMERICAN,164.0,2.0,230.0,0.0,0.0,0.0,6.82,5.8,10.02,8.52,0.0,0.0,54.8
Eli Finley,Louisiana Tech,2023,CUSA,10.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.0,0.0,0.0,0.0,
Eli Heidenreich,Navy,2023,AMERICAN,382.0,4.0,214.0,1.0,0.0,0.0,35.06,29.8,7.71,6.55,0.0,0.0,93.3
