player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,Shuttle1,Three Cone1,YPC1,YCO/A1,MTF/A1,Break%1,YPR1,Rec Yards1,Y/RR1,YAC/R1,aDOT1,CTPRR1,UCTPRR1,Drop Rate1,CC%1,Wide%1,Slot%1,Comp%1,ADJ%1,BTT%1,TWP%1,DAA1,YPA1,EPA/P1,aYPTPA1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,Shuttle2,Three Cone2,YPC2,YCO/A2,MTF/A2,Break%2,YPR2,Rec Yards2,Y/RR2,YAC/R2,aDOT2,CTPRR2,UCTPRR2,Drop Rate2,CC%2,Wide%2,Slot%2,Comp%2,ADJ%2,BTT%2,TWP%2,DAA2,YPA2,EPA/P2,aYPTPA2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,Shuttle3,Three Cone3,YPC3,YCO/A3,MTF/A3,Break%3,YPR3,Rec Yards3,Y/RR3,YAC/R3,aDOT3,CTPRR3,UCTPRR3,Drop Rate3,CC%3,Wide%3,Slot%3,Comp%3,ADJ%3,BTT%3,TWP%3,DAA3,YPA3,EPA/P3,aYPTPA3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,Shuttle4,Three Cone4,YPC4,YCO/A4,MTF/A4,Break%4,YPR4,Rec Yards4,Y/RR4,YAC/R4,aDOT4,CTPRR4,UCTPRR4,Drop Rate4,CC%4,Wide%4,Slot%4,Comp%4,ADJ%4,BTT%4,TWP%4,DAA4,YPA4,EPA/P4,aYPTPA4,birthday_parsed,birthdate_source_url
Kris Durham,WR,4.0,1988-03-17,,2006.0,18.46,0.017,0.017,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007.0,19.46,0.033,0.033,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,20.46,0.046,0.046,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,22.46,0.165,0.165,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-03-17,https://www.pro-football-reference.com/players/D/DurhKr00.htm
Kris Wilson,TE,2.0,1981-08-22,,2000.0,19.03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,20.03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,21.03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0,22.03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981-08-22,https://www.pro-football-reference.com/players/W/WilsKr00.htm
Kurt Kittner,QB,5.0,1980-01-23,20.61,2000.0,20.61,0.058,0.058,0.824,0.824,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,21.61,0.041,0.041,0.974,0.974,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980-01-23,https://www.pro-football-reference.com/players/K/KittKu00.htm
Kurtis Rourke,QB,7.0,2000-10-25,19.85,2019.0,18.85,0.003,0.002,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,19.85,0.019,0.014,0.816,0.571,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,20.85,0.009,0.006,0.908,0.635,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,20.85,0.21,0.147,0.908,0.635,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-10-25,https://en.wikipedia.org/wiki/Kurtis_Rourke
Kyle Boller,QB,1.0,1981-06-17,19.21,2000.0,19.21,0.056,0.034,0.998,0.599,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,20.21,0.004,0.002,0.746,0.448,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,20.21,0.046,0.028,0.746,0.448,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,21.21,0.02,0.012,0.925,0.555,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981-06-17,https://www.pro-football-reference.com/players/B/BollKy00.htm
Kyle Johnson,RB,5.0,1978-12-15,,2000.0,21.71,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,21.71,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,22.71,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,22.71,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-12-15,https://www.pro-football-reference.com/players/J/JohnKy00.htm
Kyle Juszczyk,RB,4.0,1991-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-04-23,https://www.pro-football-reference.com/players/J/JuszKy00.htm
Kyle Lauletta,QB,4.0,1995-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-03-17,https://www.pro-football-reference.com/players/L/LaulKy00.htm
Kyle McCord,QB,6.0,2002-09-19,20.95,2021.0,18.95,-0.002,-0.002,0.064,0.064,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,19.95,0.001,0.001,0.036,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,20.95,-0.009,-0.009,0.915,0.915,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,21.95,0.037,0.035,0.997,0.947,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-09-19,https://en.wikipedia.org/wiki/Kyle_McCord
Kyle Monangai,RB,7.0,2002-06-06,19.24,2021.0,19.24,0.015,0.015,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,19.24,0.275,0.275,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,20.24,0.008,0.008,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,20.24,0.211,0.211,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-06,https://www.pro-football-reference.com/players/M/MonaKy00.htm
