player_name,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4
Jock Sanders,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jocquez Bruce,2016.0,0.37,0.26,0.0,0.0,0.0,0.0,2017.0,3.08,2.16,0.0,0.0,8.86,6.2,2018.0,1.17,0.82,0.0,0.0,0.0,0.0,2019.0,0.16,0.11,0.0,0.0,0.0,0.0
Joe Adams,2008.0,0.0,0.0,2.73,2.73,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Alls,2002.0,0.0,0.0,2.12,1.48,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Arcangelo,2018.0,0.09,0.09,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Ayoob,2005.0,0.0,0.0,71.01,67.46,0.0,0.0,2006.0,0.0,0.0,5.11,4.85,0.0,0.0,,,,,,,,,,,,,,
Joe Bacci,2016.0,1.17,0.82,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Bauserman,2008.0,0.0,0.0,0.56,0.56,0.0,0.0,2009.0,0.0,0.0,2.75,2.75,0.0,0.0,2010.0,0.0,0.0,6.26,6.26,0.0,0.0,2011.0,0.0,0.0,28.79,28.79,0.0,0.0
Joe Beneducci,2016.0,0.0,0.0,0.0,0.0,0.02,0.02,,,,,,,,,,,,,,,,,,,,,
Joe Bento,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.53,0.37,0.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Joe Brennan,2011.0,0.0,0.0,0.73,0.73,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Burrow,2016.0,0.0,0.0,7.91,7.91,2.42,2.42,2017.0,0.0,0.0,0.83,0.83,-0.07,-0.07,2018.0,0.0,0.0,95.78,95.78,20.91,20.91,2019.0,0.13,0.13,96.25,96.25,15.15,15.15
Joe Castiglione Jr.,2017.0,0.0,0.0,0.0,0.0,0.02,0.02,,,,,,,,,,,,,,,,,,,,,
Joe Chrisman,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Cox,2006.0,0.0,0.0,13.03,13.03,0.0,0.0,2007.0,0.0,0.0,3.59,3.59,0.0,0.0,2008.0,0.0,0.0,5.8,5.8,0.0,0.0,2009.0,0.0,0.0,99.41,99.41,0.0,0.0
Joe Craddock,2006.0,0.0,0.0,1.87,1.42,0.0,0.0,2007.0,0.0,0.0,54.53,41.44,0.0,0.0,2008.0,0.0,0.0,87.82,66.74,0.0,0.0,,,,,,,
Joe Craig,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Joe Critchlow,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
