player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,YPC1,YCO/A1,MTF/A1,Break%1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,YPC2,YCO/A2,MTF/A2,Break%2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,YPC3,YCO/A3,MTF/A3,Break%3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,YPC4,YCO/A4,MTF/A4,Break%4,birthday_parsed,birthdate_source_url
Antonio Pittman,RB,4.0,1985-12-19,19.7,2004.0,18.7,0.006,0.006,0.0,0.0,0.0,0.0,,,,,,,,2005.0,19.7,0.44,0.44,0.0,0.0,0.0,0.0,,,,,,,,2005.0,19.7,0.03,0.03,0.0,0.0,0.0,0.0,,,,,,,,2006.0,20.7,0.447,0.447,0.0,0.0,0.0,0.0,,,,,,,1985-12-19,https://www.pro-football-reference.com/players/P/PittAn00.htm
Antwoine Womack,RB,7.0,1978-03-20,22.45,2000.0,22.45,0.802,0.761,0.0,0.0,0.0,0.0,,,,,,,,2000.0,22.45,0.019,0.018,0.0,0.0,0.0,0.0,,,,,,,,2001.0,23.45,0.008,0.008,0.0,0.0,0.0,0.0,,,,,,,,2001.0,23.45,0.046,0.044,0.0,0.0,0.0,0.0,,,,,,,1978-03-20,https://en.wikipedia.org/wiki/Antwoine_Womack
Artose Pinner,RB,4.0,1978-01-05,,2000.0,22.66,0.025,0.025,0.0,0.0,0.0,0.0,,,,,,,,2000.0,22.66,0.004,0.004,0.0,0.0,0.0,0.0,,,,,,,,2001.0,23.66,0.019,0.019,0.0,0.0,0.0,0.0,,,,,,,,2001.0,23.66,0.16,0.16,0.0,0.0,0.0,0.0,,,,,,,1978-01-05,https://www.pro-football-reference.com/players/P/PinnAr00.htm
Ashton Jeanty,RB,1.0,2003-12-02,18.75,2022.0,18.75,0.029,0.022,0.0,0.0,0.0,0.0,,,,,,,,2022.0,18.75,0.329,0.25,0.0,0.0,0.0,0.0,,,,,,,,2023.0,19.75,0.567,0.431,0.0,0.0,0.0,0.0,,,,,,,,2023.0,19.75,0.217,0.165,0.0,0.0,0.0,0.0,,,,,,,2003-12-02,https://www.pro-football-reference.com/players/J/JeanAs00.htm
Audric Estime,RB,5.0,2003-09-06,,2021.0,17.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2022.0,18.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2022.0,18.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2023.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2003-09-06,https://www.pro-football-reference.com/players/E/EstiAu00.htm
B.J. Askew,RB,3.0,1980-08-19,21.03,2000.0,20.04,0.008,0.008,0.0,0.0,0.0,0.0,,,,,,,,2000.0,20.04,0.088,0.088,0.0,0.0,0.0,0.0,,,,,,,,2001.0,21.03,0.073,0.073,0.0,0.0,0.0,0.0,,,,,,,,2001.0,21.03,0.454,0.454,0.0,0.0,0.0,0.0,,,,,,,1980-08-19,https://www.pro-football-reference.com/players/A/AskeB.00.htm
Baron Batch,RB,7.0,1987-12-21,,2006.0,18.7,0.017,0.016,0.0,0.0,0.0,0.0,,,,,,,,2006.0,18.7,0.004,0.004,0.0,0.0,0.0,0.0,,,,,,,,2008.0,20.7,0.052,0.05,0.0,0.0,0.0,0.0,,,,,,,,2008.0,20.7,0.145,0.138,0.0,0.0,0.0,0.0,,,,,,,1987-12-21,https://www.pro-football-reference.com/players/B/BatcBa00.htm
Beanie Wells,RB,1.0,1988-08-07,,2000.0,12.07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2001.0,13.07,0.015,0.01,0.0,0.0,0.0,0.0,,,,,,,,2002.0,14.07,0.051,0.036,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1988-08-07,https://www.pro-football-reference.com/players/W/WellCh00.htm
Ben Mason,RB,5.0,1999-05-25,,2017.0,18.27,0.112,0.112,0.0,0.0,0.0,0.0,,,,,,,,2018.0,19.27,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,2018.0,19.27,0.16,0.16,0.0,0.0,0.0,0.0,,,,,,,,2019.0,20.27,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1999-05-25,https://www.pro-football-reference.com/players/M/MasoBe00.htm
Ben Tate,RB,2.0,1988-08-21,19.03,2006.0,18.03,0.194,0.194,0.0,0.0,0.0,0.0,,,,,,,,2006.0,18.03,-0.001,-0.001,0.0,0.0,0.0,0.0,,,,,,,,2007.0,19.03,0.031,0.031,0.0,0.0,0.0,0.0,,,,,,,,2007.0,19.03,0.528,0.528,0.0,0.0,0.0,0.0,,,,,,,1988-08-21,https://www.pro-football-reference.com/players/T/TateBe00.htm
