67.0,Alley Broussard,LSU,SEC,12.0,142.0,867.0,6.1,10.0,72.3,1.0,10.0,10.0,0.0,0.8,143.0,877.0,6.1,10.0,
68.0,Wali Lundy,Virginia,ACC,12.0,175.0,864.0,4.9,17.0,72.0,12.0,145.0,12.1,0.0,12.1,187.0,1009.0,5.4,17.0,
69.0,Jayson Bird,Idaho,Sun Belt,11.0,151.0,859.0,5.7,8.0,78.1,15.0,93.0,6.2,0.0,8.5,166.0,952.0,5.7,8.0,
70.0,Alex Haynes,UCF,MAC,9.0,215.0,854.0,4.0,5.0,94.9,18.0,123.0,6.8,0.0,13.7,233.0,977.0,4.2,5.0,
71.0,Anthony Sherrell,Eastern Michigan,MAC,11.0,194.0,854.0,4.4,11.0,77.6,20.0,183.0,9.2,1.0,16.6,214.0,1037.0,4.8,12.0,
72.0,Taurean Henderson,Texas Tech,Big 12,12.0,162.0,840.0,5.2,16.0,70.0,60.0,286.0,4.8,2.0,23.8,222.0,1126.0,5.1,18.0,
73.0,Earl Charles,Marshall,MAC,12.0,177.0,824.0,4.7,5.0,68.7,18.0,95.0,5.3,0.0,7.9,195.0,919.0,4.7,5.0,
74.0,A.J. Harris,Northern Illinois,MAC,11.0,174.0,822.0,4.7,4.0,74.7,10.0,40.0,4.0,0.0,3.6,184.0,862.0,4.7,4.0,
75.0,Chance Kretschmer,Nevada,WAC,11.0,176.0,813.0,4.6,7.0,73.9,12.0,68.0,5.7,0.0,6.2,188.0,881.0,4.7,7.0,
76.0,Tyson Thompson,San Jose State,WAC,11.0,151.0,811.0,5.4,5.0,73.7,16.0,231.0,14.4,2.0,21.0,167.0,1042.0,6.2,7.0,
77.0,Vashon Pearson,Ole Miss,SEC,11.0,158.0,807.0,5.1,3.0,73.4,7.0,88.0,12.6,0.0,8.0,165.0,895.0,5.4,3.0,
78.0,Walter Reyes,Syracuse,Big East,9.0,148.0,803.0,5.4,7.0,89.2,14.0,113.0,8.1,0.0,12.6,162.0,916.0,5.7,7.0,
79.0,Marty Johnson,Utah,MWC,12.0,165.0,802.0,4.9,14.0,66.8,7.0,46.0,6.6,1.0,3.8,172.0,848.0,4.9,15.0,
80.0,Chad Scott,North Carolina,ACC,11.0,143.0,796.0,5.6,8.0,72.4,13.0,107.0,8.2,1.0,9.7,156.0,903.0,5.8,9.0,
