Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Caleb Ransaw,CB,Tulane,College Stats,11-May,197,4.33,40,16,129,,,Jacksonville Jaguars / 3rd / 88th pick / 2025
Lathan Ransom,SAF,Ohio St.,College Stats,Jun-00,206,,,,,,,Carolina Panthers / 4th / 122nd pick / 2025
Tate Ratledge,G,Georgia,College Stats,7-Jun,308,4.97,32,,113,7.38,,Detroit Lions / 2nd / 57th pick / 2025
Jaylen Reed,SAF,Penn St.,College Stats,Jun-00,211,4.49,33.5,19,,,,Houston Texans / 6th / 187th pick / 2025
Karene Reid,LB,Utah,College Stats,Jun-00,231,,,,,,,
Xavier Restrepo,WR,Miami,College Stats,10-May,209,,,17,,,,
Quincy Riley,CB,Louisville,College Stats,11-May,194,4.48,,,,,,New Orleans Saints / 4th / 131st pick / 2025
Jahvaree Ritzie,DT,North Carolina,College Stats,4-Jun,294,,35.5,26,114,,,
Jalen Rivers,OT,Miami,College Stats,6-Jun,319,5.29,,,108,,,Cincinnati Bengals / 5th / 153rd pick / 2025
Elijah Roberts,EDGE,SMU,College Stats,4-Jun,285,4.78,31.5,,116,,,Tampa Bay Buccaneers / 5th / 157th pick / 2025
Que Robinson,EDGE,Alabama,College Stats,4-Jun,243,,,,,,,Denver Broncos / 4th / 134th pick / 2025
Ty Robinson,DT,Nebraska,College Stats,5-Jun,288,4.83,33.5,28,119,7.58,4.5,Philadelphia Eagles / 4th / 111th pick / 2025
Caleb Rogers,G,Texas Tech,College Stats,5-Jun,312,5.1,34,,111,7.43,4.49,
Kurtis Rourke,QB,Indiana,College Stats,4-Jun,220,,,,,,,San Francisco 49ers / 7th / 227th pick / 2025
Jalen Royals,WR,Utah St.,College Stats,Jun-00,205,4.42,,13,,,,Kansas City Chiefs / 4th / 133rd pick / 2025
Kaimon Rucker,EDGE,North Carolina,College Stats,1-Jun,254,,,27,,,,
Dylan Sampson,RB,Tennessee,College Stats,8-May,200,,35,13,124,,,Cleveland Browns / 4th / 126th pick / 2025
Raheim Sanders,RB,South Carolina,College Stats,Jun-00,217,4.46,36.5,,,,,
Shedeur Sanders,QB,Colorado,College Stats,2-Jun,212,,,,,,,Cleveland Browns / 5th / 144th pick / 2025
T.J. Sanders,DT,South Carolina,College Stats,4-Jun,297,,31.5,,112,7.7,4.67,Buffalo Bills / 2nd / 41st pick / 2025
Jonas Sanker,SAF,Virginia,College Stats,Jun-00,206,4.48,36.5,12,128,,,New Orleans Saints / 3rd / 93rd pick / 2025
Ben Sauls,K,Pittsburgh,College Stats,10-May,182,,,,,,,
Jonah Savaiinaea,OT,Arizona,College Stats,4-Jun,324,4.95,29,,106,,4.66,Miami Dolphins / 2nd / 37th pick / 2025
Jack Sawyer,EDGE,Ohio St.,College Stats,4-Jun,260,,,,,,,Pittsburgh Steelers / 4th / 123rd pick / 2025
Carson Schwesinger,LB,UCLA,College Stats,3-Jun,242,,39.5,20,,,,Cleveland Browns / 2nd / 33rd pick / 2025
Nic Scourton,EDGE,Texas A&M,College Stats,3-Jun,257,,,,,,,Carolina Panthers / 2nd / 51st pick / 2025
Tyler Shough,QB,Louisville,College Stats,5-Jun,219,4.63,32,,117,,,New Orleans Saints / 2nd / 40th pick / 2025
Marques Sigle,SAF,Kansas St.,College Stats,11-May,199,4.37,38,,130,,,
Elijah Simmons,DT,Tennessee,College Stats,1-Jun,334,5.37,32,,106,,,
Josh Simmons,OT,Ohio St.,College Stats,5-Jun,317,,,,,,,Kansas City Chiefs / 1st / 32nd pick / 2025
Joshua Simon,TE,South Carolina,College Stats,4-Jun,239,4.65,38,,124,7.22,4.4,
Cody Simon,LB,Ohio St.,College Stats,2-Jun,229,,,,,,,Arizona Cardinals / 4th / 115th pick / 2025
Cam Skattebo,RB,Arizona St.,College Stats,10-May,219,,39.5,,123,,,New York Giants / 4th / 105th pick / 2025
Jackson Slater,G,Sacramento St.,,3-Jun,311,5.01,28.5,,108,,,Tennessee Titans / 5th / 167th pick / 2025
Tim Smith,DT,Alabama,College Stats,4-Jun,302,,,,,,,
Arian Smith,WR,Georgia,College Stats,Jun-00,179,4.36,38,,127,6.82,4.19,New York Jets / 4th / 110th pick / 2025
Brashard Smith,RB,SMU,College Stats,10-May,194,4.39,32.5,,117,,,Kansas City Chiefs / 7th / 228th pick / 2025
Jaylin Smith,CB,USC,College Stats,11-May,187,4.45,32.5,,122,,,Houston Texans / 3rd / 97th pick / 2025
Barryn Sorrell,EDGE,Texas,College Stats,3-Jun,256,4.68,34,28,121,7.06,4.36,Green Bay Packers / 4th / 124th pick / 2025
Nazir Stackhouse,DT,Georgia,College Stats,4-Jun,327,5.15,27.5,,105,,,
Malaki Starks,SAF,Georgia,College Stats,1-Jun,197,4.5,33,,,7.26,4.45,Baltimore Ravens / 1st / 27th pick / 2025
Josaiah Stewart,EDGE,Michigan,College Stats,1-Jun,249,,,,,,,Los Angeles Rams / 3rd / 90th pick / 2025
Shemar Stewart,EDGE,Texas A&M,College Stats,5-Jun,267,4.59,40,,131,,,Cincinnati Bengals / 1st / 17th pick / 2025
Upton Stout,CB,Western Kentucky,College Stats,9-May,181,4.44,37.5,21,128,,4.29,San Francisco 49ers / 3rd / 100th pick / 2025
Dorian Strong,CB,Virginia Tech,College Stats,1-Jun,185,4.5,36,15,116,,,Buffalo Bills / 6th / 177th pick / 2025
Danny Stutsman,LB,Oklahoma,College Stats,3-Jun,233,4.52,34,,,,,New Orleans Saints / 4th / 112th pick / 2025
Bradyn Swinson,EDGE,LSU,College Stats,4-Jun,255,,,,,7.13,4.33,New England Patriots / 5th / 146th pick / 2025
Junior Tafuna,DT,Utah,College Stats,4-Jun,308,5.03,28.5,24,,,,
Marcus Tate,G,Clemson,College Stats,5-Jun,321,,,,,,,
Branson Taylor,OT,Pittsburgh,College Stats,6-Jun,321,,,,,,,
Mason Taylor,TE,LSU,College Stats,5-Jun,251,,,,,,,New York Jets / 2nd / 42nd pick / 2025
Roc Taylor,WR,Memphis,College Stats,2-Jun,213,4.49,30.5,,122,,,
Isaac TeSlaa,WR,Arkansas,College Stats,4-Jun,214,4.43,39.5,17,129,6.85,4.05,Detroit Lions / 3rd / 70th pick / 2025
Azareye'h Thomas,CB,Florida St.,College Stats,2-Jun,197,,,,122,,,New York Jets / 3rd / 73rd pick / 2025
Jay Toia,DT,UCLA,College Stats,2-Jun,342,,,,,,,Dallas Cowboys / 7th / 217th pick / 2025
Ozzy Trapilo,OT,Boston Col.,College Stats,8-Jun,316,5.21,,,106,7.71,4.7,Chicago Bears / 2nd / 56th pick / 2025
Jalen Travis,OT,Iowa St.,College Stats,8-Jun,339,5.14,35,,112,,,Indianapolis Colts / 4th / 127th pick / 2025
Xavier Truss,G,Georgia,College Stats,7-Jun,309,5.24,26,,103,,,
JT Tuimoloau,EDGE,Ohio St.,College Stats,4-Jun,265,,,,,,,Indianapolis Colts / 2nd / 45th pick / 2025
Shemar Turner,DT,Texas A&M,College Stats,3-Jun,290,,,,,,,Chicago Bears / 2nd / 62nd pick / 2025
Bhayshul Tuten,RB,Virginia Tech,College Stats,9-May,206,4.32,40.5,,130,,4.41,Jacksonville Jaguars / 4th / 104th pick / 2025
Princely Umanmielen,EDGE,Mississippi,College Stats,4-Jun,244,4.72,38,,126,7.33,4.46,Carolina Panthers / 3rd / 77th pick / 2025
Malik Verdon,SAF,Iowa St.,College Stats,4-Jun,218,,,,,7.06,4.34,
Carson Vinson,OT,Alabama A&M,,7-Jun,314,5.12,28.5,,111,7.51,,
David Walker,EDGE,Central Arkansas,,1-Jun,263,4.69,35,26,118,7.15,4.39,
Deone Walker,DT,Kentucky,College Stats,7-Jun,331,,25,,104,,,Buffalo Bills / 4th / 109th pick / 2025
Jalon Walker,LB,Georgia,College Stats,1-Jun,243,,,,,,,Atlanta Falcons / 1st / 15th pick / 2025
Justin Walley,CB,Minnesota,College Stats,10-May,190,4.4,,,,,,Indianapolis Colts / 3rd / 80th pick / 2025
Cam Ward,QB,Miami,College Stats,2-Jun,219,,,,,,,Tennessee Titans / 1st / 1st pick / 2025
Tyler Warren,TE,Penn St.,College Stats,6-Jun,256,,,,,,,Indianapolis Colts / 1st / 14th pick / 2025
Jordan Watkins,WR,Mississippi,College Stats,11-May,196,4.37,36.5,,119,,,
Xavier Watts,SAF,Notre Dame,College Stats,Jun-00,204,,,,,,,Atlanta Falcons / 3rd / 96th pick / 2025
Isas Waxter,CB,Villanova,,1-Jun,209,4.56,35,,124,,,
Theo Wease,WR,Missouri,College Stats,3-Jun,200,4.56,31,,117,,,
Robert Webb,C,Jacksonville St.,College Stats,3-Jun,312,5.11,31,,107,,4.9,
CJ West,DT,Indiana,College Stats,1-Jun,316,4.95,33,,,,,San Francisco 49ers / 4th / 113th pick / 2025
LaJohntay Wester,WR,Colorado,College Stats,10-May,163,4.46,32,,121,,,Baltimore Ravens / 6th / 203rd pick / 2025
John Williams,G,Cincinnati,College Stats,4-Jun,322,5.17,,,,7.93,4.72,
Cameron Williams,OT,Texas,College Stats,6-Jun,317,,,,,,,Philadelphia Eagles / 6th / 207th pick / 2025
Kyle Williams,WR,Washington St.,College Stats,11-May,190,4.4,36.5,,119,,,New England Patriots / 3rd / 69th pick / 2025
Mykel Williams,EDGE,Georgia,College Stats,5-Jun,260,,,,,,,San Francisco 49ers / 1st / 11th pick / 2025
Nohl Williams,CB,California,College Stats,Jun-00,199,4.5,33.5,19,120,,,Kansas City Chiefs / 3rd / 85th pick / 2025
Savion Williams,WR,TCU,College Stats,4-Jun,222,4.48,,,,,,Green Bay Packers / 3rd / 87th pick / 2025
Tyleik Williams,DT,Ohio St.,College Stats,3-Jun,334,,,,,,,Detroit Lions / 1st / 28th pick / 2025
Jared Wilson,C,Georgia,College Stats,3-Jun,310,4.84,32,,112,,4.56,New England Patriots / 3rd / 95th pick / 2025
Hunter Wohler,SAF,Wisconsin,College Stats,2-Jun,213,4.57,37,,120,6.72,4.25,Indianapolis Colts / 7th / 232nd pick / 2025
Ernest Woodard,LB,UNLV,College Stats,2-Jun,234,,,21,,,,
Craig Woodson,SAF,California,College Stats,Jun-00,200,4.45,36,13,127,,,New England Patriots / 4th / 106th pick / 2025
Marcus Yarns,RB,Delaware,,11-May,193,4.45,37.5,,122,,,
Grey Zabel,OT,North Dakota St.,,6-Jun,312,,36.5,,111,,,
