Player,Bias,DOM+,Breakout Age,EPA/P,aYPTPA,CC%,YAC/R,aDOT,Y/RR,Draft Capital,Drop Rate,UCTPRR,CTPRR,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Savion Williams,8.2381,-0.0679,-1.2451,0.1067,0.0036,0.0040,0.0834,-0.0658,-0.2467,0.5616,0.0043,-0.0715,-0.0360,-0.0488,-0.0129,-0.9694,-0.0617,7.2070,7.9600,-0.7530
Arian Smith,8.2381,-0.0448,-1.0508,0.1068,0.0057,0.0042,0.0720,0.2496,-0.3793,-0.4137,0.0049,0.0752,-0.0121,0.1169,0.0088,-1.3823,0.1257,6.9815,6.4200,0.5615
Daniel Braverman,8.2381,0.1805,-0.1989,-0.1418,0.0066,0.0032,0.0785,-0.0845,0.1718,-2.1209,0.0046,-0.0236,-0.0526,0.0885,-0.0330,-2.1771,0.0555,6.1165,6.5100,-0.3935
Nelson Agholor,8.2381,0.2502,0.2649,-0.1640,-0.0082,0.0040,-0.0228,0.0160,0.0127,2.0594,0.0044,-0.0259,-0.0435,0.0449,0.0010,2.3472,0.0459,10.6311,11.3500,-0.7189
Anthony Gould,8.2381,0.1751,-0.2781,0.1078,0.0326,0.0043,0.0361,0.0311,-0.0412,-0.8368,0.0050,-0.0180,-0.0383,0.0650,0.0010,-0.8204,0.0660,7.4838,5.3500,2.1338
Taywan Taylor,8.2381,0.0794,-0.1219,0.1003,-0.0771,0.0040,0.1411,0.0164,0.3523,0.5437,0.0057,-0.0228,-0.0327,-0.1856,0.0113,0.9884,-0.1743,9.0521,9.0500,0.0021
Elijah Sarratt,8.2381,0.0462,0.3244,-0.1588,0.0036,0.0035,0.0041,-0.0330,0.0091,2.0468,0.0054,0.0084,0.0906,0.0187,0.0271,2.3503,0.0458,10.6341,9.2900,1.3441
Evan Spencer,8.2381,-1.2060,-0.2989,-0.1772,0.0025,0.0034,0.0372,-0.0235,-0.5817,-1.6984,0.0036,-0.0307,-0.0504,0.0560,0.0111,-4.0201,0.0671,4.2849,3.5000,0.7849
Kawaan Baker,8.2381,-0.0617,0.5469,-0.1430,0.0262,0.0034,0.0814,-0.0190,-0.3423,-1.8467,0.0047,0.0331,0.0494,-0.1937,0.0037,-1.6676,-0.1900,6.3804,6.6800,-0.2996
Christian Watson,8.2381,0.0009,0.1960,-0.1386,0.0230,0.0033,0.3863,0.1542,0.4342,1.4031,0.0047,-0.0667,-0.0334,0.1050,-0.0050,2.3670,0.1000,10.7051,10.5600,0.1451
Tutu Atwell,8.2381,0.1364,0.3487,0.0591,-0.1356,0.0040,0.3221,-0.0332,0.4427,1.3021,0.0052,-0.0235,-0.0395,0.0649,-0.0202,2.3885,0.0447,10.6714,9.1200,1.5514
Chris Godwin,8.2381,0.2306,0.3146,0.1005,-0.0317,0.0046,0.0769,0.0157,-0.1112,0.3966,0.0050,-0.0183,-0.0332,-0.0288,-0.0225,0.9501,-0.0513,9.1369,10.6600,-1.5231
Xavier Legette,8.2381,0.3026,-1.0776,0.1292,-0.0018,-0.0345,0.0851,0.0465,0.2634,2.2113,-0.1435,-0.0013,0.0600,-0.2036,0.0495,1.8394,-0.1541,9.9233,9.7000,0.2233
