player_name,pos,birth_date,team,conf,draft_year,draft_round,breakout_year,breakout_age,DOM,PDOM,RDOM,Year,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,avoided_tackles,big_time_throws,breakaway_attempts,breakaway_percent,breakaway_yards,btt_rate,caught_percent,completion_percent,completions,contested_catch_rate,contested_receptions,contested_targets,def_gen_pressures,designed_yards,drop_rate,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,fumbles,gap_attempts,hit_as_threw,interceptions,pass_tds,pass_yds,passing_snaps,pressure_to_sack_rate,qb_rating,rec_tds,rec_yards,rec_yds,receptions,route_rate,routes,run_plays,rush_tds,rush_yds,sack_percent,sacks,scramble_yards,scrambles,slot_rate,slot_snaps,targets,team_pr_tds,team_pr_yds,team_ru_tds,team_ru_yds,total_touches,turnover_worthy_plays,twp_rate,wide_rate,wide_snaps,yards_after_catch,yards_after_catch_per_reception,yards_after_contact,yards_per_reception,yco_attempt,ypa,yprr,zone_attempts
Matt Schaub,QB,1981-06-25,Virginia,ACC,2004,3,2002.0,21.1854893908282,0.0,0.8673363112853956,0.0559247667759069,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2964.0,,,,0.0,,0.0,,,,,1.5,36.0,,,,,,,,27.5,3273.0,16.5,1735.0,,,,,,,,,,,,,
Carlos Francis,WR,1981-01-03,Texas Tech,Big 12,2004,4,,,0.1801476089127202,0.0,0.0150322118826055,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,9.0,,1177.0,,,,,0.0,42.0,,,,,,,,53.0,6179.0,20.0,1397.0,,,,,,,,,,,,,
Samie Parker,WR,1981-03-25,Oregon,Pac-10,2004,4,2002.0,21.437371663244353,0.3112834549878345,0.0,0.0139941690962099,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,7.0,,1088.0,,,,,0.0,48.0,,,,,,,,24.0,3288.0,15.0,1715.0,,,,,,,,,,,,,
Luke McCown,QB,1981-07-12,Louisiana Tech,WAC,2004,4,,,0.0,0.0,0.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2544.0,,,,0.0,,0.0,,,,,3.0,-29.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Jerricho Cotchery,WR,1982-06-16,North Carolina State,ACC,2004,4,2001.0,19.21149897330595,0.3195841347070551,0.0,0.00709378369291985,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,8.5,,1280.5,,,,,0.0,20.0,,,,,,,,27.5,4024.0,26.5,1664.0,,,,,,,,,,,,,
Tim Euhus,TE,1980-10-02,Oregon State,Pac-10,2004,4,2003.0,22.913073237508556,0.2156154747948417,0.0,0.0,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,7.0,,645.0,,,,,0.0,0.0,,,,,,,,25.0,4265.0,25.0,1754.0,,,,,,,,,,,,,
Mewelde Moore,RB,1982-07-24,Tulane,CUSA,2004,4,2000.0,18.10814510609172,0.18123514586787953,0.0,0.6573791885379273,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5.5,,582.0,,,,,6.5,1168.0,,,,,,,,30.5,3295.5,11.0,1595.5,,,,,,,,,,,,,
Ernest Wilford,WR,1979-01-14,Virginia Tech,Big East,2004,4,,,0.0,0.0,0.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,141.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Cedric Cobbs,RB,1981-01-09,Arkansas,SEC,2004,4,2001.0,20.643394934976044,0.0069049553208773,0.0,0.3569157392686805,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,34.0,,,,,10.0,1320.0,,,,,,,,20.0,2462.0,34.0,3145.0,,,,,,,,,,,,,
Johnnie Morant,WR,1981-12-07,Syracuse,Big East,2004,5,,,0.0,0.0,0.0,2001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,2.0,,409.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Sean Ryan,TE,1980-03-27,Rutgers,Big Ten,2004,5,,,0.049567788898999,0.0,0.0,2018.0,,,,9.1,,1.0,,,,,,70.6,,,100.0,1.0,1.0,,,7.7,,1.0,,,,,,0.0,,,0.0,0.0,0.0,,,,1.0,,162.0,12.0,97.5,116.0,,0.0,0.0,,,,,5.9,7.0,17.0,20.0,3297.0,28.0,2052.0,,,,94.1,112.0,60.0,5.0,,13.5,,,1.4,
Craig Krenzel,QB,1981-07-01,Ohio State,Big Ten,2004,5,2002.0,21.169062286105408,0.0,0.8096810283550508,0.1510146405678683,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,2075.0,,,,0.0,,0.0,,,,,3.0,311.5,,,,,,,,17.0,2552.0,22.5,2158.5,,,,,,,,,,,,,
Maurice Mann,WR,1982-09-14,Nevada,WAC,2004,5,,,0.0,0.0,0.0,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,3.0,,233.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Mark Wilson,TE,1980-11-11,California,Pac-10,2004,5,,,0.0,0.0,0.0368716931216931,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,1.0,3.0,,,,,,,,31.0,2971.0,14.0,1296.0,,,,,,,,,,,,,
Michael Turner,RB,1982-02-13,Arizona,Pac-10,2004,5,2000.0,18.548939082819988,0.063764569828937,0.0,0.7862339144873391,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.5,,165.0,,,,,16.5,1781.5,,,,,,,,20.5,2366.0,22.0,2164.5,,,,,,,,,,,,,
Mike Karney,RB,1981-07-06,Arizona State,Pac-10,2004,5,,,0.0071550255536626,0.0,0.0165484633569739,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,42.0,,,,,0.0,42.0,,,,,,,,21.0,2935.0,11.0,1269.0,,,,,,,,,,,,,
D.J. Hackett,WR,1981-07-03,Colorado,Big 12,2004,5,2003.0,22.16290212183436,0.2807785404025332,0.0,-0.0040106951871657,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,7.0,,1013.0,,,,,0.0,-9.0,,,,,,,,27.0,3351.0,16.0,1122.0,,,,,,,,,,,,,
Thomas Tapeh,RB,1980-03-28,Minnesota,Big Ten,2004,5,2002.0,22.428473648186177,0.04161146028104615,0.0004679895170348,0.2716590237912718,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.5,,,,1.0,,89.5,,,,,9.5,738.0,,,,,,,,19.5,2527.5,34.0,3243.0,,,,,,,,,,,,,
Drew Carter,WR,1981-09-05,Colorado,Pac-12,2004,5,,,0.1015210899589399,0.0,0.0039658328248932,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,410.0,,,,,0.0,13.0,,,,,,,,20.0,2679.0,14.0,1639.0,,,,,,,,,,,,,
P.K. Sam,WR,1983-12-26,Florida State,ACC,2004,5,2003.0,19.682409308692677,0.2010040601338746,0.0,0.0011547344110854,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5.0,,735.0,,,,,0.0,4.0,,,,,,,,26.0,3505.0,20.0,1732.0,,,,,,,,,,,,,
Jamaar Taylor,WR,1981-02-25,Texas A&M,Big 12,2004,6,2001.0,20.514715947980836,0.26932088477096616,0.0,0.00292350796210935,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,3.5,,472.5,,,,,0.0,10.0,,,,,,,,10.5,2330.0,18.0,1690.5,,,,,,,,,,,,,
Ryan Krause,TE,1981-06-16,Oregon,Pac-10,2004,6,,,0.0316079724793417,0.0,0.0,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,1.0,,24.0,,,,,0.0,0.0,,,,,,,,18.0,3133.0,26.0,2364.0,,,,,,,,,,,,,
Triandos Luke,WR,1981-12-24,Alabama,SEC,2004,6,2003.0,21.686516084873375,0.2043592226131721,0.0,0.0,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,4.0,,432.0,,,,,0.0,0.0,,,,,,,,17.0,2491.0,17.0,2066.0,,,,,,,,,,,,,
Nate Lawrie,TE,1981-10-17,TAM,,2004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Hall,QB,1980-11-26,Rice,CUSA,2004,6,,,0.0,0.0654553174091488,0.01378896882494,2001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,262.0,,,,0.0,,0.0,,,,,0.0,46.0,,,,,,,,19.0,3347.0,26.0,1668.0,,,,,,,,,,,,,
