Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
48.0,Chris Lacy,Idaho,Big West,11.0,45.0,776.0,17.2,6.0,70.5,3.0,3.0,1.0,0.0,0.3,48.0,779.0,16.2,6.0,
49.0,Brian Natkin,UTEP,WAC,11.0,63.0,775.0,12.3,4.0,70.5,1.0,6.0,6.0,0.0,0.5,64.0,781.0,12.2,4.0,AA
50.0,J.J. Moses,Iowa State,Big 12,11.0,53.0,775.0,14.6,4.0,70.5,16.0,153.0,9.6,2.0,13.9,69.0,928.0,13.4,6.0,
51.0,Chris Chambers,Wisconsin,Big Ten,8.0,47.0,774.0,16.5,4.0,96.8,0.0,0.0,,0.0,0.0,47.0,774.0,16.5,4.0,
52.0,Pete Rebstock,Colorado State,MWC,10.0,46.0,768.0,16.7,6.0,76.8,2.0,-6.0,-3.0,0.0,-0.6,48.0,762.0,15.9,6.0,
53.0,Tim Baker,Texas Tech,Big 12,12.0,69.0,765.0,11.1,7.0,63.8,0.0,0.0,,0.0,0.0,69.0,765.0,11.1,7.0,
54.0,Reche Caldwell,Florida,SEC,12.0,49.0,760.0,15.5,6.0,63.3,4.0,25.0,6.3,0.0,2.1,53.0,785.0,14.8,6.0,
55.0,Reggie Wayne,Miami (FL),Big East,11.0,43.0,755.0,17.6,10.0,68.6,2.0,15.0,7.5,0.0,1.4,45.0,770.0,17.1,10.0,
56.0,Tyrone Calico,Middle Tennessee State,Ind,11.0,47.0,752.0,16.0,3.0,68.4,0.0,0.0,,0.0,0.0,47.0,752.0,16.0,3.0,
57.0,Santana Moss,Miami (FL),Big East,11.0,45.0,748.0,16.6,5.0,68.0,6.0,201.0,33.5,2.0,18.3,51.0,949.0,18.6,7.0,"H-7,AA"
58.0,Steve Smith Sr.,Utah,MWC,10.0,35.0,743.0,21.2,4.0,74.3,5.0,31.0,6.2,0.0,3.1,40.0,774.0,19.4,4.0,
59.0,Boo Williams,Arkansas,SEC,11.0,52.0,739.0,14.2,7.0,67.2,0.0,0.0,,0.0,0.0,52.0,739.0,14.2,7.0,
60.0,Ken-Yon Rambo,Ohio State,Big Ten,11.0,51.0,729.0,14.3,2.0,66.3,5.0,12.0,2.4,0.0,1.1,56.0,741.0,13.2,2.0,
61.0,Keykowa Bell,Houston,CUSA,11.0,54.0,722.0,13.4,2.0,65.6,0.0,0.0,,0.0,0.0,54.0,722.0,13.4,2.0,
62.0,Antonio Brown,West Virginia,Big East,11.0,45.0,721.0,16.0,1.0,65.5,22.0,123.0,5.6,1.0,11.2,67.0,844.0,12.6,2.0,
63.0,Keenan Howry,Oregon,Pac-10,11.0,47.0,721.0,15.3,5.0,65.5,0.0,0.0,,0.0,0.0,47.0,721.0,15.3,5.0,
64.0,Kevin Walter,Eastern Michigan,MAC,11.0,55.0,721.0,13.1,5.0,65.5,0.0,0.0,,0.0,0.0,55.0,721.0,13.1,5.0,
65.0,Margin Hooks,BYU,MWC,12.0,61.0,718.0,11.8,2.0,59.8,1.0,-9.0,-9.0,0.0,-0.8,62.0,709.0,11.4,2.0,
66.0,Derek Smith,Kentucky,SEC,11.0,50.0,716.0,14.3,5.0,65.1,0.0,5.0,,0.0,0.5,50.0,721.0,14.4,5.0,
67.0,Chad Johnson,Oregon State,Pac-10,11.0,33.0,713.0,21.6,6.0,64.8,2.0,-5.0,-2.5,0.0,-0.5,35.0,708.0,20.2,6.0,
68.0,Shawn Mills,Southern Mississippi,CUSA,11.0,55.0,713.0,13.0,5.0,64.8,2.0,21.0,10.5,0.0,1.9,57.0,734.0,12.9,5.0,
69.0,John Simon,Louisiana Tech,Ind,12.0,72.0,711.0,9.9,4.0,59.3,109.0,565.0,5.2,0.0,47.1,181.0,1276.0,7.0,4.0,
70.0,Justin Gage,Missouri,Big 12,11.0,44.0,709.0,16.1,4.0,64.5,6.0,-14.0,-2.3,0.0,-1.3,50.0,695.0,13.9,4.0,
71.0,Edell Shepherd,San Jose State,WAC,11.0,42.0,707.0,16.8,4.0,64.3,0.0,0.0,,0.0,0.0,42.0,707.0,16.8,4.0,
72.0,Khori Ivy,West Virginia,Big East,11.0,41.0,707.0,17.2,5.0,64.3,1.0,9.0,9.0,0.0,0.8,42.0,716.0,17.0,5.0,
73.0,Terrence Edwards,Georgia,SEC,11.0,53.0,704.0,13.3,4.0,64.0,10.0,21.0,2.1,0.0,1.9,63.0,725.0,11.5,4.0,
74.0,Brian Poli-Dixon,UCLA,Pac-10,10.0,46.0,700.0,15.2,5.0,70.0,0.0,0.0,,0.0,0.0,46.0,700.0,15.2,5.0,
75.0,Javon Green,Colorado,Big 12,11.0,48.0,699.0,14.6,4.0,63.5,0.0,0.0,,0.0,0.0,48.0,699.0,14.6,4.0,
76.0,B.J. Johnson,Texas,Big 12,11.0,41.0,698.0,17.0,3.0,63.5,6.0,29.0,4.8,0.0,2.6,47.0,727.0,15.5,3.0,
77.0,Ryan McGuffey,Wyoming,MWC,11.0,63.0,696.0,11.0,4.0,63.3,0.0,0.0,,0.0,0.0,63.0,696.0,11.0,4.0,
78.0,Terrell Harris,Tulane,CUSA,11.0,64.0,694.0,10.8,1.0,63.1,0.0,0.0,,0.0,0.0,64.0,694.0,10.8,1.0,
79.0,Jonathan Pittman,BYU,MWC,12.0,38.0,691.0,18.2,5.0,57.6,0.0,0.0,,0.0,0.0,38.0,691.0,18.2,5.0,
80.0,Todd Elstrom,Washington,Pac-10,11.0,47.0,683.0,14.5,3.0,62.1,0.0,0.0,,0.0,0.0,47.0,683.0,14.5,3.0,
81.0,Craig Stutzmann,Hawaii,WAC,11.0,54.0,682.0,12.6,5.0,62.0,2.0,-2.0,-1.0,0.0,-0.2,56.0,680.0,12.1,5.0,
82.0,Cedrick Wilson,Tennessee,SEC,11.0,62.0,681.0,11.0,12.0,61.9,0.0,0.0,,0.0,0.0,62.0,681.0,11.0,12.0,
83.0,Steve O'Connor,Connecticut,Ind,11.0,50.0,678.0,13.6,2.0,61.6,0.0,0.0,,0.0,0.0,50.0,678.0,13.6,2.0,
84.0,John Standeford,Purdue,Big Ten,11.0,62.0,677.0,10.9,6.0,61.5,2.0,6.0,3.0,0.0,0.5,64.0,683.0,10.7,6.0,
85.0,Dedrick Dewalt,Boston College,Big East,11.0,38.0,676.0,17.8,8.0,61.5,1.0,33.0,33.0,0.0,3.0,39.0,709.0,18.2,8.0,
86.0,John Fitzsimmons,Connecticut,Ind,10.0,42.0,676.0,16.1,9.0,67.6,4.0,3.0,0.8,0.0,0.3,46.0,679.0,14.8,9.0,
87.0,Atrews Bell,Florida State,ACC,12.0,37.0,675.0,18.2,10.0,56.3,2.0,2.0,1.0,1.0,0.2,39.0,677.0,17.4,11.0,
88.0,Richard Williams,Arizona State,Pac-10,11.0,38.0,666.0,17.5,7.0,60.5,3.0,5.0,1.7,0.0,0.5,41.0,671.0,16.4,7.0,
89.0,Anquan Boldin,Florida State,ACC,12.0,41.0,664.0,16.2,6.0,55.3,1.0,8.0,8.0,0.0,0.7,42.0,672.0,16.0,6.0,
90.0,Delwyn Daigre,Louisiana Tech,Ind,12.0,57.0,662.0,11.6,8.0,55.2,0.0,0.0,,0.0,0.0,57.0,662.0,11.6,8.0,
91.0,Donnie O'Neal,Arizona State,Pac-10,11.0,39.0,661.0,16.9,7.0,60.1,0.0,0.0,,0.0,0.0,39.0,661.0,16.9,7.0,
92.0,T.J. Houshmandzadeh,Oregon State,Pac-10,11.0,42.0,656.0,15.6,6.0,59.6,0.0,0.0,,0.0,0.0,42.0,656.0,15.6,6.0,
93.0,Grant Heard,Ole Miss,SEC,11.0,44.0,655.0,14.9,9.0,59.5,0.0,0.0,,0.0,0.0,44.0,655.0,14.9,9.0,
94.0,Marcus Williams,Washington State,Pac-10,11.0,33.0,643.0,19.5,4.0,58.5,0.0,0.0,,0.0,0.0,33.0,643.0,19.5,4.0,
95.0,Bosley Allen,North Carolina,ACC,11.0,40.0,634.0,15.9,4.0,57.6,2.0,-7.0,-3.5,0.0,-0.6,42.0,627.0,14.9,4.0,
96.0,Reggie Newhouse,Baylor,Big 12,11.0,40.0,629.0,15.7,4.0,57.2,0.0,0.0,,0.0,0.0,40.0,629.0,15.7,4.0,
97.0,Bobby Wade,Arizona,Pac-10,10.0,45.0,626.0,13.9,3.0,62.6,8.0,27.0,3.4,0.0,2.7,53.0,653.0,12.3,3.0,
98.0,Kerwin Cook,Tulane,CUSA,11.0,48.0,624.0,13.0,6.0,56.7,1.0,-1.0,-1.0,0.0,-0.1,49.0,623.0,12.7,6.0,
99.0,Sly Johnson,Miami (OH),MAC,10.0,37.0,620.0,16.8,5.0,62.0,1.0,2.0,2.0,0.0,0.2,38.0,622.0,16.4,5.0,
100.0,Kahlil Hill,Iowa,Big Ten,12.0,58.0,619.0,10.7,5.0,51.6,1.0,3.0,3.0,0.0,0.3,59.0,622.0,10.5,5.0,
101.0,Todd Heap,Arizona State,Pac-10,11.0,45.0,617.0,13.7,3.0,56.1,1.0,2.0,2.0,0.0,0.2,46.0,619.0,13.5,3.0,
102.0,Darius Watts,Marshall,MAC,11.0,36.0,616.0,17.1,6.0,56.0,7.0,52.0,7.4,0.0,4.7,43.0,668.0,15.5,6.0,
103.0,Antonio Chatman,Cincinnati,CUSA,11.0,46.0,609.0,13.2,2.0,55.4,0.0,0.0,,0.0,0.0,46.0,609.0,13.2,2.0,
104.0,Arnold Jackson,Louisville,CUSA,11.0,63.0,609.0,9.7,5.0,55.4,2.0,-3.0,-1.5,0.0,-0.3,65.0,606.0,9.3,5.0,
105.0,Jimmy Fryzel,UCF,Ind,11.0,36.0,606.0,16.8,3.0,55.1,0.0,0.0,,0.0,0.0,36.0,606.0,16.8,3.0,
106.0,Robert Prescott,Oregon State,Pac-10,8.0,26.0,602.0,23.2,4.0,75.3,1.0,25.0,25.0,0.0,3.1,27.0,627.0,23.2,4.0,
107.0,Jerramy Stevens,Washington,Pac-10,11.0,43.0,600.0,14.0,3.0,54.5,0.0,0.0,,0.0,0.0,43.0,600.0,14.0,3.0,
108.0,Marquise Walker,Michigan,Big Ten,11.0,45.0,599.0,13.3,4.0,54.5,1.0,-1.0,-1.0,0.0,-0.1,46.0,598.0,13.0,4.0,
109.0,Antwone Savage,Oklahoma,Big 12,12.0,48.0,598.0,12.5,3.0,49.8,12.0,160.0,13.3,1.0,13.3,60.0,758.0,12.6,4.0,
110.0,Jermale Kelly,South Carolina,SEC,11.0,39.0,597.0,15.3,4.0,54.3,0.0,0.0,,0.0,0.0,39.0,597.0,15.3,4.0,
111.0,Fabian Davis,Wake Forest,ACC,11.0,33.0,596.0,18.1,3.0,54.2,5.0,62.0,12.4,0.0,5.6,38.0,658.0,17.3,3.0,
112.0,Latef Grim,Pitt,Big East,11.0,39.0,595.0,15.3,2.0,54.1,0.0,0.0,,0.0,0.0,39.0,595.0,15.3,2.0,
113.0,Emmett White,Utah State,Big West,11.0,47.0,592.0,12.6,2.0,53.8,242.0,1322.0,5.5,13.0,120.2,289.0,1914.0,6.6,15.0,
114.0,Jeb Putzier,Boise State,Big West,11.0,35.0,592.0,16.9,3.0,53.8,0.0,0.0,,0.0,0.0,35.0,592.0,16.9,3.0,
115.0,John Minardi,Colorado,Big 12,11.0,48.0,592.0,12.3,2.0,53.8,0.0,0.0,,0.0,0.0,48.0,592.0,12.3,2.0,
116.0,Harrison Hill,Kansas,Big 12,10.0,47.0,591.0,12.6,1.0,59.1,1.0,14.0,14.0,0.0,1.4,48.0,605.0,12.6,1.0,
117.0,Andre Forde,Buffalo,MAC,11.0,36.0,590.0,16.4,6.0,53.6,3.0,28.0,9.3,0.0,2.5,39.0,618.0,15.8,6.0,
118.0,Mel Long,Toledo,MAC,11.0,50.0,587.0,11.7,6.0,53.4,0.0,0.0,,0.0,0.0,50.0,587.0,11.7,6.0,
119.0,Antonio Carter,Alabama,SEC,11.0,45.0,586.0,13.0,1.0,53.3,4.0,-2.0,-0.5,0.0,-0.2,49.0,584.0,11.9,1.0,
120.0,Aaron Lockett,Kansas State,Big 12,13.0,36.0,584.0,16.2,2.0,44.9,7.0,62.0,8.9,0.0,4.8,43.0,646.0,15.0,2.0,
121.0,Tim Stratton,Purdue,Big Ten,11.0,56.0,579.0,10.3,2.0,52.6,0.0,0.0,,0.0,0.0,56.0,579.0,10.3,2.0,
122.0,Derek Dorris,Texas Tech,Big 12,12.0,56.0,574.0,10.3,9.0,47.8,0.0,0.0,,0.0,0.0,56.0,574.0,10.3,9.0,
123.0,Emmett Johnson,Virginia Tech,Big East,11.0,34.0,574.0,16.9,3.0,52.2,4.0,29.0,7.3,0.0,2.6,38.0,603.0,15.9,3.0,
124.0,Andre Woolfolk,Oklahoma,Big 12,12.0,39.0,573.0,14.7,5.0,47.8,1.0,11.0,11.0,0.0,0.9,40.0,584.0,14.6,5.0,
125.0,John Hampton,SMU,WAC,12.0,46.0,572.0,12.4,4.0,47.7,0.0,0.0,,0.0,0.0,46.0,572.0,12.4,4.0,
126.0,Guilian Gary,Maryland,ACC,11.0,40.0,568.0,14.2,7.0,51.6,0.0,0.0,,0.0,0.0,40.0,568.0,14.2,7.0,
127.0,Curtis Fagan,Oklahoma,Big 12,12.0,40.0,567.0,14.2,7.0,47.3,6.0,58.0,9.7,1.0,4.8,46.0,625.0,13.6,8.0,
128.0,Errol Johnson,Rutgers,Big East,11.0,46.0,555.0,12.1,5.0,50.5,0.0,0.0,,0.0,0.0,46.0,555.0,12.1,5.0,
129.0,Versie Gaddis,Indiana,Big Ten,11.0,29.0,554.0,19.1,3.0,50.4,1.0,1.0,1.0,0.0,0.1,30.0,555.0,18.5,3.0,
130.0,P.J. Winston,New Mexico State,Big West,11.0,34.0,553.0,16.3,7.0,50.3,8.0,40.0,5.0,0.0,3.6,42.0,593.0,14.1,7.0,
131.0,Damien Gary,Georgia,SEC,11.0,36.0,552.0,15.3,5.0,50.2,0.0,0.0,,0.0,0.0,36.0,552.0,15.3,5.0,
132.0,Jay Swillie,Boise State,Big West,9.0,33.0,552.0,16.7,4.0,61.3,3.0,7.0,2.3,0.0,0.8,36.0,559.0,15.5,4.0,
133.0,Kory Bailey,North Carolina,ACC,11.0,32.0,550.0,17.2,2.0,50.0,1.0,-6.0,-6.0,0.0,-0.5,33.0,544.0,16.5,2.0,
134.0,David Foye,Marshall,MAC,11.0,53.0,549.0,10.4,3.0,49.9,0.0,0.0,,0.0,0.0,53.0,549.0,10.4,3.0,
135.0,Lee Evans,Wisconsin,Big Ten,12.0,30.0,548.0,18.3,3.0,45.7,0.0,0.0,,0.0,0.0,30.0,548.0,18.3,3.0,
